"primary_key","object_id","product_family_id","product_family_name","product_family_number","laststreameddate","itemref","batch_number","material","sample_id","analysis","measurement","itemcondition","time_point","display_result","entered_result","units","limit_type_id","coa_limit","verification_status","smd_reference","site","manufacture_site"
"01968265-dd3a-7ecf-97ba-98a42721ed68-01969156-a451-78de-8426-4d4be956732d-123-230164316436|INH|SPEC-00014195|24|=|1|||>=1 <=1||","01969156-a451-78de-8426-4d4be956732d","01968265-dd3a-7ecf-97ba-98a42721ed68",CypressTC3 – Streamer Test,"123",2025-05-09 00:00:00.000,"230164316436|INH|SPEC-00014195|24|=|1|||>=1 <=1||","944220","307511-BIO","90031473",IC ENDTOX SAMPLE,Status assay SST,"5°C/25°C/60%RH","0 months",,,,INH,>=1 <=1,Pass,"TV-SPEC-16223, DS-SPE-24449",Cork_API-L,Cork_API-L
"01968265-dd3a-7ecf-97ba-98a42721ed68-01969156-a4f9-7bda-a2e0-0f49fd255041-123-230164316427||||||||>=50 <=200||","01969156-a4f9-7bda-a2e0-0f49fd255041","01968265-dd3a-7ecf-97ba-98a42721ed68",CypressTC3 – Streamer Test,"123",2025-05-09 00:00:00.000,"230164316427||||||||>=50 <=200||","944220","307511-BIO","90031473",IC ENDTOX SAMPLE,PPC recovery,"5°C/25°C/60%RH","0 months",,,%,"",>=50 <=200,Pass,,Cork_API-L,Cork_API-L
"01968265-dd3a-7ecf-97ba-98a42721ed68-01969156-a5d5-76b4-b9d5-c4b14384f9de-123-230164316430|INH|SPEC-00014195|24|<|10.50|||<=10%||","01969156-a5d5-76b4-b9d5-c4b14384f9de","01968265-dd3a-7ecf-97ba-98a42721ed68",CypressTC3 – Streamer Test,"123",2025-05-09 00:00:00.000,"230164316430|INH|SPEC-00014195|24|<|10.50|||<=10%||","944220","307511-BIO","90031473",IC ENDTOX SAMPLE,Additional Calc CV,"5°C/25°C/60%RH","0 months",,,%,INH,<=10%,Pass,"TV-SPEC-16223, DS-SPE-24449",Cork_API-L,Cork_API-L
"01968265-dd3a-7ecf-97ba-98a42721ed68-01969156-a84c-797e-9431-846beb53fd02-123-230164316435||||||||NO LIMIT||","01969156-a84c-797e-9431-846beb53fd02","01968265-dd3a-7ecf-97ba-98a42721ed68",CypressTC3 – Streamer Test,"123",2025-05-09 00:00:00.000,"230164316435||||||||NO LIMIT||","944220","307511-BIO","90031473",IC ENDTOX SAMPLE,Status CV,"5°C/25°C/60%RH","0 months",,,,"",NO LIMIT,Pass,,Cork_API-L,Cork_API-L
"01968265-dd3a-7ecf-97ba-98a42721ed68-01969156-a96d-7dbf-aa5a-43485128f960-123-230164316428||||||||REPORT RESULTS||PASS","01969156-a96d-7dbf-aa5a-43485128f960","01968265-dd3a-7ecf-97ba-98a42721ed68",CypressTC3 – Streamer Test,"123",2025-05-09 00:00:00.000,"230164316428||||||||REPORT RESULTS||PASS","944220","307511-BIO","90031473",IC ENDTOX SAMPLE,A280 Result,"5°C/25°C/60%RH","0 months","50.4","50.4",,"",REPORT RESULTS,Pass,,Cork_API-L,Cork_API-L
"01968265-dd3a-7ecf-97ba-98a42721ed68-01969156-ab06-7b5b-be1d-3f3ba44af57f-123-230164316431||||||||NO LIMIT||","01969156-ab06-7b5b-be1d-3f3ba44af57f","01968265-dd3a-7ecf-97ba-98a42721ed68",CypressTC3 – Streamer Test,"123",2025-05-09 00:00:00.000,"230164316431||||||||NO LIMIT||","944220","307511-BIO","90031473",IC ENDTOX SAMPLE,Avg react time,"5°C/25°C/60%RH","0 months",,,,"",NO LIMIT,Pass,,Cork_API-L,Cork_API-L
"01968265-dd3a-7ecf-97ba-98a42721ed68-01969156-af12-7673-a4ef-435548e663d4-123-190102975047|ACTION|SPEC-00012841|24|<|1|||<1||PASS","01969156-af12-7673-a4ef-435548e663d4","01968265-dd3a-7ecf-97ba-98a42721ed68",CypressTC3 – Streamer Test,"123",2025-05-09 00:00:00.000,"190102975047|ACTION|SPEC-00012841|24|<|1|||<1||PASS","944220","307511-BIO","90031443",RODAC 3,RODAC sample of gloved finger tips of Right Hand,"5°C/25°C/60%RH","0 months",<1,"0",CFU/glove,ACTION,<1,Pass,,Cork_API-L,Cork_API-L
"01968265-dd3a-7ecf-97ba-98a42721ed68-01969156-b47d-7954-805e-46dd05fe6dcd-123-190102975045|ACTION|SPEC-00012841|24|<|1|||<1||PASS","01969156-b47d-7954-805e-46dd05fe6dcd","01968265-dd3a-7ecf-97ba-98a42721ed68",CypressTC3 – Streamer Test,"123",2025-05-09 00:00:00.000,"190102975045|ACTION|SPEC-00012841|24|<|1|||<1||PASS","944220","307511-BIO","90031443",RODAC 2,RODAC sample of gloved finger tips of Left Hand,"5°C/25°C/60%RH","0 months",<1,"0",CFU/glove,ACTION,<1,Pass,,Cork_API-L,Cork_API-L
"01968265-dd3a-7ecf-97ba-98a42721ed68-01969156-b8d0-760f-ad0e-cd3442725a29-123-190102844229|GLO|SPEC-00013823|16|<=|1.00|||<=1.00||PASS","01969156-b8d0-760f-ad0e-cd3442725a29","01968265-dd3a-7ecf-97ba-98a42721ed68",CypressTC3 – Streamer Test,"123",2025-05-09 00:00:00.000,"190102844229|GLO|SPEC-00013823|16|<=|1.00|||<=1.00||PASS","944220","307511-BIO","19970833",IC TOC SAMPLE CV1,TOC (Swab),"5°C/25°C/60%RH","0 months","0.19","0.191",ppm,GLO,<=1.00,Pass,"TV-TEC-59102, TV-TEC-67340",Cork_API-L,Cork_API-L
"01968265-dd3a-7ecf-97ba-98a42721ed68-01969156-ba93-7bc4-985d-a7b0fd1a3a95-123-230164316433||||||||NO LIMIT||","01969156-ba93-7bc4-985d-a7b0fd1a3a95","01968265-dd3a-7ecf-97ba-98a42721ed68",CypressTC3 – Streamer Test,"123",2025-05-09 00:00:00.000,"230164316433||||||||NO LIMIT||","944220","307511-BIO","90031473",IC ENDTOX SAMPLE,Endotoxin,"5°C/25°C/60%RH","0 months","0.911","0.911",EU/mL,"",NO LIMIT,Pass,,Cork_API-L,Cork_API-L
"01968265-dd3a-7ecf-97ba-98a42721ed68-01969156-bc71-717e-b849-59c7455f1ca6-123-190102835199|GLO|SPEC-00013823|16|<=|1.00|||<=1.00||PASS","01969156-bc71-717e-b849-59c7455f1ca6","01968265-dd3a-7ecf-97ba-98a42721ed68",CypressTC3 – Streamer Test,"123",2025-05-09 00:00:00.000,"190102835199|GLO|SPEC-00013823|16|<=|1.00|||<=1.00||PASS","944220","307511-BIO","19970933",IC TOC SAMPLE CV1,TOC (Swab),"5°C/25°C/60%RH","0 months","0.25","0.245",ppm,GLO,<=1.00,Pass,"TV-TEC-59102, TV-TEC-67340",Cork_API-L,Cork_API-L
"01968265-dd3a-7ecf-97ba-98a42721ed68-01969156-bd41-728c-863a-5befbe742cdf-123-230164316423|INH|SPEC-00014195|24|=|100|||>=100 <=100||","01969156-bd41-728c-863a-5befbe742cdf","01968265-dd3a-7ecf-97ba-98a42721ed68",CypressTC3 – Streamer Test,"123",2025-05-09 00:00:00.000,"230164316423|INH|SPEC-00014195|24|=|100|||>=100 <=100||","944220","307511-BIO","90031473",BIOBURDEN,"100 PBS","5°C/25°C/60%RH","0 months",,,mL,INH,>=100 <=100,Pass,"TV-SPEC-16223, DS-SPE-24449",Cork_API-L,Cork_API-L
"01968265-dd3a-7ecf-97ba-98a42721ed68-01969156-bfae-7517-a79f-0c3ec3e64f4c-123-230164316436||||||||>=1 <=1||","01969156-bfae-7517-a79f-0c3ec3e64f4c","01968265-dd3a-7ecf-97ba-98a42721ed68",CypressTC3 – Streamer Test,"123",2025-05-09 00:00:00.000,"230164316436||||||||>=1 <=1||","944220","307511-BIO","90031473",IC ENDTOX SAMPLE,Status assay SST,"5°C/25°C/60%RH","0 months",,,,"",>=1 <=1,Pass,,Cork_API-L,Cork_API-L
"01968265-dd3a-7ecf-97ba-98a42721ed68-01969156-c928-752b-9b48-d08148a7fcfc-123-190102843973|GLO|SPEC-00013823|16|<=|1.00|||<=1.00||PASS","01969156-c928-752b-9b48-d08148a7fcfc","01968265-dd3a-7ecf-97ba-98a42721ed68",CypressTC3 – Streamer Test,"123",2025-05-09 00:00:00.000,"190102843973|GLO|SPEC-00013823|16|<=|1.00|||<=1.00||PASS","944220","307511-BIO","19970923",IC TOC SAMPLE CV1,TOC (Swab),"5°C/25°C/60%RH","0 months","0.24","0.242",ppm,GLO,<=1.00,Pass,"TV-TEC-59102, TV-TEC-67340",Cork_API-L,Cork_API-L
"01968265-dd3a-7ecf-97ba-98a42721ed68-01969156-cefd-7a65-9886-2f5052423663-123-230164316423||||||||>=100 <=100||","01969156-cefd-7a65-9886-2f5052423663","01968265-dd3a-7ecf-97ba-98a42721ed68",CypressTC3 – Streamer Test,"123",2025-05-09 00:00:00.000,"230164316423||||||||>=100 <=100||","944220","307511-BIO","90031473",BIOBURDEN,"100 PBS","5°C/25°C/60%RH","0 months",,,mL,"",>=100 <=100,Pass,,Cork_API-L,Cork_API-L
"01968265-dd3a-7ecf-97ba-98a42721ed68-01969156-cf54-7ba0-9bce-f342b9983402-123-230164316425||||||||<=10%||","01969156-cf54-7ba0-9bce-f342b9983402","01968265-dd3a-7ecf-97ba-98a42721ed68",CypressTC3 – Streamer Test,"123",2025-05-09 00:00:00.000,"230164316425||||||||<=10%||","944220","307511-BIO","90031473",IC ENDTOX SAMPLE,CV PPC,"5°C/25°C/60%RH","0 months",,,%,"",<=10%,Pass,,Cork_API-L,Cork_API-L
"01968265-dd3a-7ecf-97ba-98a42721ed68-01969156-d946-72a5-aa29-43e4e8faa4df-123-230164316429|INH|SPEC-00014195|24|>|-99999|||REPORT RESULTS||PASS","01969156-d946-72a5-aa29-43e4e8faa4df","01968265-dd3a-7ecf-97ba-98a42721ed68",CypressTC3 – Streamer Test,"123",2025-05-09 00:00:00.000,"230164316429|INH|SPEC-00014195|24|>|-99999|||REPORT RESULTS||PASS","944220","307511-BIO","90031473",IC ENDTOX SAMPLE,A280 Sample Ref,"5°C/25°C/60%RH","0 months","90031478","90031478",,INH,REPORT RESULTS,Pass,"TV-SPEC-16223, DS-SPE-24449",Cork_API-L,Cork_API-L
"01968265-dd3a-7ecf-97ba-98a42721ed68-01969156-ddfc-76c2-835d-4cb3125fabe0-123-190102845297|INH|SPEC-00013823|16|In|PASS|||||PASS","01969156-ddfc-76c2-835d-4cb3125fabe0","01968265-dd3a-7ecf-97ba-98a42721ed68",CypressTC3 – Streamer Test,"123",2025-05-09 00:00:00.000,"190102845297|INH|SPEC-00013823|16|In|PASS|||||PASS","944220","307511-BIO","19970813",IC TOC SAMPLE CV1,Ref Evaluation Pass-Fail,"5°C/25°C/60%RH","0 months",Pass,Pass,,INH,"",Pass,"TV-TEC-59102, TV-TEC-67340",Cork_API-L,Cork_API-L
"01968265-dd3a-7ecf-97ba-98a42721ed68-01969156-de69-7c68-93ab-e34d53a364d3-123-230164316427|INH|SPEC-00014195|24|>=|50|<=|200|>=50 <=200||","01969156-de69-7c68-93ab-e34d53a364d3","01968265-dd3a-7ecf-97ba-98a42721ed68",CypressTC3 – Streamer Test,"123",2025-05-09 00:00:00.000,"230164316427|INH|SPEC-00014195|24|>=|50|<=|200|>=50 <=200||","944220","307511-BIO","90031473",IC ENDTOX SAMPLE,PPC recovery,"5°C/25°C/60%RH","0 months",,,%,INH,>=50 <=200,Pass,"TV-SPEC-16223, DS-SPE-24449",Cork_API-L,Cork_API-L
"01968265-dd3a-7ecf-97ba-98a42721ed68-01969156-de69-7f11-b9a1-01ac5f52878d-123-230164316437||||||||NO LIMIT||","01969156-de69-7f11-b9a1-01ac5f52878d","01968265-dd3a-7ecf-97ba-98a42721ed68",CypressTC3 – Streamer Test,"123",2025-05-09 00:00:00.000,"230164316437||||||||NO LIMIT||","944220","307511-BIO","90031473",IC ENDTOX SAMPLE,Total Run Time,"5°C/25°C/60%RH","0 months",,,,"",NO LIMIT,Pass,,Cork_API-L,Cork_API-L
"01968265-dd3a-7ecf-97ba-98a42721ed68-01969156-def9-7365-85a6-846d27719ee4-123-190102593963|GLO|SPEC-00012841|24|<=|1.00|||<=1.00||PASS","01969156-def9-7365-85a6-846d27719ee4","01968265-dd3a-7ecf-97ba-98a42721ed68",CypressTC3 – Streamer Test,"123",2025-05-09 00:00:00.000,"190102593963|GLO|SPEC-00012841|24|<=|1.00|||<=1.00||PASS","944220","307511-BIO","19975373",BACTERIAL ENDOTOX5,Endotoxin,"5°C/25°C/60%RH","0 months",<0.13,<0.125,EU/ml,GLO,<=1.00,Pass,,Cork_API-L,Cork_API-L
"01968265-dd3a-7ecf-97ba-98a42721ed68-01969156-e0ba-7777-b3c8-1a5c098f2101-123-230164316430||||||||<=10%||","01969156-e0ba-7777-b3c8-1a5c098f2101","01968265-dd3a-7ecf-97ba-98a42721ed68",CypressTC3 – Streamer Test,"123",2025-05-09 00:00:00.000,"230164316430||||||||<=10%||","944220","307511-BIO","90031473",IC ENDTOX SAMPLE,Additional Calc CV,"5°C/25°C/60%RH","0 months",,,%,"",<=10%,Pass,,Cork_API-L,Cork_API-L
"01968265-dd3a-7ecf-97ba-98a42721ed68-01969156-e79c-755f-8719-c82aca8c743f-123-230164316425|INH|SPEC-00014195|24|<|10.50|||<=10%||","01969156-e79c-755f-8719-c82aca8c743f","01968265-dd3a-7ecf-97ba-98a42721ed68",CypressTC3 – Streamer Test,"123",2025-05-09 00:00:00.000,"230164316425|INH|SPEC-00014195|24|<|10.50|||<=10%||","944220","307511-BIO","90031473",IC ENDTOX SAMPLE,CV PPC,"5°C/25°C/60%RH","0 months",,,%,INH,<=10%,Pass,"TV-SPEC-16223, DS-SPE-24449",Cork_API-L,Cork_API-L
"01968265-dd3a-7ecf-97ba-98a42721ed68-01969156-e8d2-7355-8f6e-f408d1bb85d0-123-230164316432|INH|SPEC-00014195|24|=|50|||>=50 <=50||","01969156-e8d2-7355-8f6e-f408d1bb85d0","01968265-dd3a-7ecf-97ba-98a42721ed68",CypressTC3 – Streamer Test,"123",2025-05-09 00:00:00.000,"230164316432|INH|SPEC-00014195|24|=|50|||>=50 <=50||","944220","307511-BIO","90031473",IC ENDTOX SAMPLE,Dilution Factor=50,"5°C/25°C/60%RH","0 months",,,,INH,>=50 <=50,Pass,"TV-SPEC-16223, DS-SPE-24449",Cork_API-L,Cork_API-L
"01968265-dd3a-7ecf-97ba-98a42721ed68-01969156-e988-7fe3-9e6a-f1b644a1705e-123-190102844227|INH|SPEC-00013823|16|In|PASS|||||PASS","01969156-e988-7fe3-9e6a-f1b644a1705e","01968265-dd3a-7ecf-97ba-98a42721ed68",CypressTC3 – Streamer Test,"123",2025-05-09 00:00:00.000,"190102844227|INH|SPEC-00013823|16|In|PASS|||||PASS","944220","307511-BIO","19970833",IC TOC SAMPLE CV1,Ref Evaluation Pass-Fail,"5°C/25°C/60%RH","0 months",Pass,Pass,,INH,"",Pass,"TV-TEC-59102, TV-TEC-67340",Cork_API-L,Cork_API-L
"01968265-dd3a-7ecf-97ba-98a42721ed68-01969156-e9c3-7b14-bc25-14138b766c02-123-190102843971|INH|SPEC-00013823|16|In|PASS|||||PASS","01969156-e9c3-7b14-bc25-14138b766c02","01968265-dd3a-7ecf-97ba-98a42721ed68",CypressTC3 – Streamer Test,"123",2025-05-09 00:00:00.000,"190102843971|INH|SPEC-00013823|16|In|PASS|||||PASS","944220","307511-BIO","19970923",IC TOC SAMPLE CV1,Ref Evaluation Pass-Fail,"5°C/25°C/60%RH","0 months",Pass,Pass,,INH,"",Pass,"TV-TEC-59102, TV-TEC-67340",Cork_API-L,Cork_API-L
"01968265-dd3a-7ecf-97ba-98a42721ed68-01969156-ef6f-7d06-b8bc-8440bba34684-123-190102682653|GLO|SPEC-00012841|24|<=|200|||<=200||PASS","01969156-ef6f-7d06-b8bc-8440bba34684","01968265-dd3a-7ecf-97ba-98a42721ed68",CypressTC3 – Streamer Test,"123",2025-05-09 00:00:00.000,"190102682653|GLO|SPEC-00012841|24|<=|200|||<=200||PASS","944220","307511-BIO","90007613",BIOBURDEN 5,Bioburden,"5°C/25°C/60%RH","0 months","0","0",CFU/10ml,GLO,<=200,Pass,,Cork_API-L,Cork_API-L
"01968265-dd3a-7ecf-97ba-98a42721ed68-01969156-f081-7dec-bf94-799f4c3db8c9-123-190102593961|GLO|SPEC-00012841|24|<=|100|||<=100||PASS","01969156-f081-7dec-bf94-799f4c3db8c9","01968265-dd3a-7ecf-97ba-98a42721ed68",CypressTC3 – Streamer Test,"123",2025-05-09 00:00:00.000,"190102593961|GLO|SPEC-00012841|24|<=|100|||<=100||PASS","944220","307511-BIO","19975373",BIOBURDEN 1,Bioburden,"5°C/25°C/60%RH","0 months","0","0",CFU/10ml,GLO,<=100,Pass,,Cork_API-L,Cork_API-L
"01968265-dd3a-7ecf-97ba-98a42721ed68-01969156-fcb6-7b2c-8da6-3ca1251e5c54-123-230164316424||||||||<=10||PASS","01969156-fcb6-7b2c-8da6-3ca1251e5c54","01968265-dd3a-7ecf-97ba-98a42721ed68",CypressTC3 – Streamer Test,"123",2025-05-09 00:00:00.000,"230164316424||||||||<=10||PASS","944220","307511-BIO","90031473",BIOBURDEN,Bioburden,"5°C/25°C/60%RH","0 months","0","0",CFU/10mL,"",<=10,Pass,,Cork_API-L,Cork_API-L
"01968265-dd3a-7ecf-97ba-98a42721ed68-01969157-001b-796a-a314-0884917cd751-123-230164316428|INH|SPEC-00014195|24|>|-99999|||REPORT RESULTS||PASS","01969157-001b-796a-a314-0884917cd751","01968265-dd3a-7ecf-97ba-98a42721ed68",CypressTC3 – Streamer Test,"123",2025-05-09 00:00:00.000,"230164316428|INH|SPEC-00014195|24|>|-99999|||REPORT RESULTS||PASS","944220","307511-BIO","90031473",IC ENDTOX SAMPLE,A280 Result,"5°C/25°C/60%RH","0 months","50.4","50.4",,INH,REPORT RESULTS,Pass,"TV-SPEC-16223, DS-SPE-24449",Cork_API-L,Cork_API-L
"01968265-dd3a-7ecf-97ba-98a42721ed68-01969157-00ad-7800-b250-228ce8834ada-123-230164316432||||||||>=50 <=50||","01969157-00ad-7800-b250-228ce8834ada","01968265-dd3a-7ecf-97ba-98a42721ed68",CypressTC3 – Streamer Test,"123",2025-05-09 00:00:00.000,"230164316432||||||||>=50 <=50||","944220","307511-BIO","90031473",IC ENDTOX SAMPLE,Dilution Factor=50,"5°C/25°C/60%RH","0 months",,,,"",>=50 <=50,Pass,,Cork_API-L,Cork_API-L
