"primary_key","object_id","product_family_id","product_family_name","product_family_number","laststreameddate","study","study_description","product_or_material_description","study_status","active","stability_study_type","protocol_number","batch_number","manufacture_date","manufacture_location","packaging_site","packaging_date","initiated_site","stability_site","start_date","shelf_life"
"0196d464-3975-777f-ab23-66b462ab14d4-01927d09-0391-723f-bfbc-e51980d19769-12-$record.itemnumber","01927d09-0391-723f-bfbc-e51980d19769","0196d464-3975-777f-ab23-66b462ab14d4",CypressTC5 – Streamer Test,"12",2025-05-15 00:00:00.000,Study-231987,AMIVANTAMAB-NKS67-466848--TV-TEC-276873--TV-FRM-49110-10-0-0014,CNTO 4424 FJ 50MG/ML VIAL COMM. OI+BPACK,A,Y,Monitoring,TV-TEC-276873,NKS67,Thu Nov 23 00:00:00 EST 2023,Schaffhausen Pharma,,,Leiden_API-L,Leiden_API-L,Mon Nov 20 00:00:00 EST 2023,
"0196d464-3975-777f-ab23-66b462ab14d4-01927d09-0397-7b08-976c-b3c6e247998c-12-$record.itemnumber","01927d09-0397-7b08-976c-b3c6e247998c","0196d464-3975-777f-ab23-66b462ab14d4",CypressTC5 – Streamer Test,"12",2025-05-15 00:00:00.000,Study-231131,JNJ6372 Amivantamab SubQ DP MM#466777 Lot#NBS35 TV-TEC-264627 Photostability,JNJ-61186372 SubQ Gen2 Low Volume Fill (10.0mL),A,Y,Photostability,TEC-264627,NBS35,Tue Feb 14 00:00:00 EST 2023,"JSC (Cilag AG), LPF2, Schaffhausen, Switzerland",,,Cork_API-L,Cork_API-L,Fri Aug 11 01:00:00 EDT 2023,
"0196d464-3975-777f-ab23-66b462ab14d4-01927d09-039c-7435-a288-ed60a5560b2d-12-$record.itemnumber","01927d09-039c-7435-a288-ed60a5560b2d","0196d464-3975-777f-ab23-66b462ab14d4",CypressTC5 – Streamer Test,"12",2025-05-15 00:00:00.000,Study-231956,AMIVANTAMAB-368995C-309491--TV-TEC-190846--TV-FRM-49110-10-0-0019,"4424 Cork FB 20kg RTP G1 50g/L",A,Y,Annual,TV-TEC-190846,"368995C",Sun Nov 19 00:00:00 EST 2023,Cork_API-L,,,Leiden_API-L,Leiden_API-L,Thu Jul 27 00:00:00 EDT 2023,
"0196d464-3975-777f-ab23-66b462ab14d4-01927d09-039c-773b-8e83-cee0d27f85d7-12-$record.itemnumber","01927d09-039c-773b-8e83-cee0d27f85d7","0196d464-3975-777f-ab23-66b462ab14d4",CypressTC5 – Streamer Test,"12",2025-05-15 00:00:00.000,Study-230257,JNJ6372 CNTO4424 High Titre Gen 2 DS MM#DS02541020 Lot#0000083348 TV-TEC-233625,JNJ-61186372 Amivantamab 160 mg/mL,A,Y,Monitoring,TEC-233625,"0000083348",Mon Jan 09 00:00:00 EST 2023,WuXi Biologics,,,Cork_API-L,Cork_API-L,Mon Jan 09 01:00:00 EST 2023,
"0196d464-3975-777f-ab23-66b462ab14d4-01927d09-03a1-7261-bb9f-e0f19372a511-12-$record.itemnumber","01927d09-03a1-7261-bb9f-e0f19372a511","0196d464-3975-777f-ab23-66b462ab14d4",CypressTC5 – Streamer Test,"12",2025-05-15 00:00:00.000,Study-231266,JNJ6372 CNTO4424 SubQ DP MM#466777 Lot#NBS35 TV-TEC-258783 ES Temp Cycling,JNJ-61186372 SubQ Gen2 Low Volume Fill (10.0mL),A,Y,Temperature Cycling,TEC-258783,NBS35,Tue Feb 14 00:00:00 EST 2023,"JSC (Cilag AG), LPF2, Schaffhausen, Switzerland",,,Cork_API-L,Cork_API-L,Thu Jul 27 01:00:00 EDT 2023,
"0196d464-3975-777f-ab23-66b462ab14d4-01927d09-03a4-78d5-8e6b-4e60f2d6bf9d-12-$record.itemnumber","01927d09-03a4-78d5-8e6b-4e60f2d6bf9d","0196d464-3975-777f-ab23-66b462ab14d4",CypressTC5 – Streamer Test,"12",2025-05-15 00:00:00.000,Study-231820,CNTO4424-309491-367544C--TV-TEC-190846--TV-FRM-49110-9-0-0033,"4424 Cork FB 20kg RTP G1 50g/L",C,Y,Monitoring,TV-TEC-190846,"367544C",Tue Oct 24 00:00:00 EDT 2023,Cork_API-L,,,Leiden_API-L,Leiden_API-L,Fri Jul 28 00:00:00 EDT 2023,
"0196d464-3975-777f-ab23-66b462ab14d4-01927d09-03a5-7a97-ad90-0e19bf5fdf6e-12-$record.itemnumber","01927d09-03a5-7a97-ad90-0e19bf5fdf6e","0196d464-3975-777f-ab23-66b462ab14d4",CypressTC5 – Streamer Test,"12",2025-05-15 00:00:00.000,Study-230375,JNJ6372 CNTO4424 DP MM#445383 Lot#NBS5K TV-TEC-236120,"JNJ-61186372 (amivantamab) SubQ Ph3, Gen2 (2000L) FVP 25R vial",A,Y,Monitoring,TEC-236120,NBS5K,Wed Feb 22 00:00:00 EST 2023,"Schaffhausen, F2P2, Switzerland",,,Cork_API-L,Cork_API-L,Wed Feb 22 01:00:00 EST 2023,
"0196d464-3975-777f-ab23-66b462ab14d4-01927d09-03a6-7deb-ab17-8e2625001994-12-$record.itemnumber","01927d09-03a6-7deb-ab17-8e2625001994","0196d464-3975-777f-ab23-66b462ab14d4",CypressTC5 – Streamer Test,"12",2025-05-15 00:00:00.000,Study-230781,JNJ6372 (CNTO4424 Sub Q) DS MM#310817 Lot#350035 TV-TEC-253466 Freeze Thaw,Ami Cork DSP1 FB 65kg SBL P2 G2 160g/L,A,Y,Freeze-Thaw Study,TEC-253466,"350035",Fri Jan 20 00:00:00 EST 2023,Cork_API-L,,,Cork_API-L,Cork_API-L,Thu Jun 01 01:00:00 EDT 2023,
"0196d464-3975-777f-ab23-66b462ab14d4-01927d09-03b4-70c4-b3d2-22a3d1bc91ee-12-$record.itemnumber","01927d09-03b4-70c4-b3d2-22a3d1bc91ee","0196d464-3975-777f-ab23-66b462ab14d4",CypressTC5 – Streamer Test,"12",2025-05-15 00:00:00.000,Study-231787,AMIVANTAMAB-466778-NJS3V--TV-TEC-273065--TV-FRM-49110-9-0-0034,JNJ-61186372 SubQ Gen2 Low Volume Fill (10.0mL),A,Y,Monitoring,TV-TEC-273065,NJS3V,Thu Oct 12 00:00:00 EDT 2023,Schaffhausen Pharma,,,Leiden_API-L,Leiden_API-L,Thu Oct 05 00:00:00 EDT 2023,
"0196d464-3975-777f-ab23-66b462ab14d4-01927d09-03c0-7529-92ce-9acbfbb5a589-12-$record.itemnumber","01927d09-03c0-7529-92ce-9acbfbb5a589","0196d464-3975-777f-ab23-66b462ab14d4",CypressTC5 – Streamer Test,"12",2025-05-15 00:00:00.000,Study-230465,JNJ6372 CNTO4424 High Titre Gen 2 DS MM#DS02541020 Lot#0000087510 TV-TEC-233625,JNJ-61186372 Amivantamab 160 mg/mL,A,Y,Monitoring,TEC-233625,"0000087510",Thu Jan 26 00:00:00 EST 2023,WuXi Biologics,,,Cork_API-L,Cork_API-L,Thu Jan 26 01:00:00 EST 2023,
"0196d464-3975-777f-ab23-66b462ab14d4-01927d09-03c5-7cfc-a58f-6f7185fd4934-12-$record.itemnumber","01927d09-03c5-7cfc-a58f-6f7185fd4934","0196d464-3975-777f-ab23-66b462ab14d4",CypressTC5 – Streamer Test,"12",2025-05-15 00:00:00.000,Study-222099,JNJ6372 CNTO4424 DS MM#310746 Lot#343868C TV-TEC-241314,"4424 Cork CLIN FB 65kg RTP G1 160g/L",A,Y,Monitoring,TEC-241314,"343868C",Mon Nov 07 00:00:00 EST 2022,Cork_API-L,,,Cork_API-L,Cork_API-L,Mon Nov 07 01:00:00 EST 2022,
"0196d464-3975-777f-ab23-66b462ab14d4-01927d09-03d9-74c8-978c-2a3752d58fdd-12-$record.itemnumber","01927d09-03d9-74c8-978c-2a3752d58fdd","0196d464-3975-777f-ab23-66b462ab14d4",CypressTC5 – Streamer Test,"12",2025-05-15 00:00:00.000,Study-212438,CNTO4424 FB MM#309890 LOT#320015C TV-TEC-180527,"4424 Cork CLIN FB 8kg RTP G1 160g/L",A,Y,Pull & Freeze,TEC-180527,"320015C",Wed Nov 10 00:00:00 EST 2021,Cork_API-L,,,Cork_API-L,Cork_API-L,Wed Nov 10 01:00:00 EST 2021,
"0196d464-3975-777f-ab23-66b462ab14d4-01927d09-03d9-7d81-b50e-28bb01ecc5b5-12-$record.itemnumber","01927d09-03d9-7d81-b50e-28bb01ecc5b5","0196d464-3975-777f-ab23-66b462ab14d4",CypressTC5 – Streamer Test,"12",2025-05-15 00:00:00.000,Study-210076,JNJ-61186372 (CNTO 4424 HC-Gen 1) MM#309890 LOT#970823 TV-TEC-180527,"4424 Cork CLIN FB 8kg RTP G1 160g/L",A,Y,Monitoring,TEC-180527,"970823",Mon Jan 11 00:00:00 EST 2021,Cork_API-L,,,Cork_API-L,Cork_API-L,Mon Jan 11 01:00:00 EST 2021,
"0196d464-3975-777f-ab23-66b462ab14d4-01927d09-03ed-74b4-bf0e-0db661ba4d9c-12-$record.itemnumber","01927d09-03ed-74b4-bf0e-0db661ba4d9c","0196d464-3975-777f-ab23-66b462ab14d4",CypressTC5 – Streamer Test,"12",2025-05-15 00:00:00.000,Study-181386,CNTO4424 FB Development MM#4424-n001-01058-B lot#n001-01058-B DS-TEC-129471,CNTO 4424-n001-01058-B 50 mg/mL Secondary Formulation (Form B),A,Y,Monitoring,TEC-129471,n001-01058-B,Thu May 24 00:00:00 EDT 2018,Malvern_API-L,,,Cork_API-L,Cork_API-L,Thu May 24 01:00:00 EDT 2018,
"0196d464-3975-777f-ab23-66b462ab14d4-01927d09-03ed-765b-9311-f7470da54303-12-$record.itemnumber","01927d09-03ed-765b-9311-f7470da54303","0196d464-3975-777f-ab23-66b462ab14d4",CypressTC5 – Streamer Test,"12",2025-05-15 00:00:00.000,Study-181385,CNTO4424 FB Development MM#4424-n001-01058-C lot#n001-01058-C DS-TEC-129472,"4424-n001-01058-C 100 mg/mL Secondary Formulation (Form C)",A,Y,Monitoring,TEC-129472,n001-01058-C,Thu May 24 00:00:00 EDT 2018,Malvern_API-L,,,Cork_API-L,Cork_API-L,Thu May 24 01:00:00 EDT 2018,
"0196d464-3975-777f-ab23-66b462ab14d4-01927d09-03ed-797e-8c61-64aeefbeed27-12-$record.itemnumber","01927d09-03ed-797e-8c61-64aeefbeed27","0196d464-3975-777f-ab23-66b462ab14d4",CypressTC5 – Streamer Test,"12",2025-05-15 00:00:00.000,Study-181344,CNTO4424 FB Development MM#4424-n001-01058-A lot#n001-01058-A DS-TEC-123207,CNTO 4424-n001-01058-A 50 mg/mL Primary Formulation (Form A),S,Y,Monitoring,TEC-123207,n001-01058-A,,Cork_API-L,,,Cork_API-L,Cork_API-L,Thu May 24 01:00:00 EDT 2018,
"0196d464-3975-777f-ab23-66b462ab14d4-01927d09-03f1-7075-8c13-256bd800db0c-12-$record.itemnumber","01927d09-03f1-7075-8c13-256bd800db0c","0196d464-3975-777f-ab23-66b462ab14d4",CypressTC5 – Streamer Test,"12",2025-05-15 00:00:00.000,Study-190363,JNJ-61186372 FVP MM#20005060 Lot#19A28 DS-TEC-120880,CNTO 4424 Final Vial Product (FVP),A,Y,Monitoring,TEC-120880,"19A28",Wed Feb 06 00:00:00 EST 2019,Cork_API-L,,,Cork_API-L,Cork_API-L,Wed Feb 06 01:00:00 EST 2019,
"0196d464-3975-777f-ab23-66b462ab14d4-01927d09-03f2-73a7-aafe-b782816f5a69-12-$record.itemnumber","01927d09-03f2-73a7-aafe-b782816f5a69","0196d464-3975-777f-ab23-66b462ab14d4",CypressTC5 – Streamer Test,"12",2025-05-15 00:00:00.000,Study-220877,JNJ6372 CNTO4424 SubQ (HC-Gen 1) DS MM#309890 Lot#332546C TV-TEC-180527,"4424 Cork CLIN FB 8kg RTP G1 160g/L",A,Y,Pull & Freeze,TEC-180527,"332546C",Thu May 19 00:00:00 EDT 2022,"Janssen Sciences Ireland UC, Cork",,,Cork_API-L,Cork_API-L,Thu May 19 01:00:00 EDT 2022,
"0196d464-3975-777f-ab23-66b462ab14d4-01927d09-03f8-7786-b1fe-763331114426-12-$record.itemnumber","01927d09-03f8-7786-b1fe-763331114426","0196d464-3975-777f-ab23-66b462ab14d4",CypressTC5 – Streamer Test,"12",2025-05-15 00:00:00.000,Study-192252,CNTO4424 MM#444610 LOT#JJS5A DS-TEC-137789,CNTO 4424 Final Vial Product (FVP) from 15K Scale DS,A,Y,Monitoring,TEC-137789,JJS5A,Wed Oct 23 00:00:00 EDT 2019,Schaffhausen Pharma,,,Cork_API-L,Cork_API-L,Wed Oct 23 01:00:00 EDT 2019,
"0196d464-3975-777f-ab23-66b462ab14d4-01927d09-03fb-7013-8d5e-8d464eaab6f1-12-$record.itemnumber","01927d09-03fb-7013-8d5e-8d464eaab6f1","0196d464-3975-777f-ab23-66b462ab14d4",CypressTC5 – Streamer Test,"12",2025-05-15 00:00:00.000,Study-192501,CNTO4424--444610--JKS59--TV-TEC-162462--F-2019-14186,CNTO 4424 Final Vial Product (FVP) from 15K Scale DS,C,Y,Monitoring,TV-TEC-162462,JKS59,Tue Nov 26 00:00:00 EST 2019,"Lyophilization Production Facility (LPF2), Janssen SC, Schaffhausen, Switzerland",,,Leiden_API-L,Leiden_API-L,Fri Nov 08 00:00:00 EST 2019,
"0196d464-3975-777f-ab23-66b462ab14d4-01927d09-03fb-7e6b-b393-74db3f0df980-12-$record.itemnumber","01927d09-03fb-7e6b-b393-74db3f0df980","0196d464-3975-777f-ab23-66b462ab14d4",CypressTC5 – Streamer Test,"12",2025-05-15 00:00:00.000,Study-200910,CNTO4424--444610--KDS3E--TV-TEC-162462--TV-FRM-49110-7-0-0080,CNTO 4424 Final Vial Product (FVP) from 15K Scale DS,C,Y,Monitoring,TV-TEC-162462,KDS3E,Fri Apr 03 00:00:00 EDT 2020,"Lyophilization Production Facility (LPF2), Janssen SC, Schaffhausen, Switzerland",,,Leiden_API-L,Leiden_API-L,Tue May 05 00:00:00 EDT 2020,
"0196d464-3975-777f-ab23-66b462ab14d4-01927d09-03fc-7353-8506-15d480b43a3f-12-$record.itemnumber","01927d09-03fc-7353-8506-15d480b43a3f","0196d464-3975-777f-ab23-66b462ab14d4",CypressTC5 – Streamer Test,"12",2025-05-15 00:00:00.000,Study-192503,CNTO4424-444610-KAS4P--TV-TEC-162462--TV-FRM-49110-7-0-0054,CNTO 4424 Final Vial Product (FVP) from 15K Scale DS,C,Y,Monitoring,TV-TEC-162462,KAS4P,Tue Jan 21 00:00:00 EST 2020,"Lyophilization Production Facility (LPF2), Janssen SC, Schaffhausen, Switzerland",,,Leiden_API-L,Leiden_API-L,Fri Nov 08 00:00:00 EST 2019,
"0196d464-3975-777f-ab23-66b462ab14d4-01927d09-0404-7268-8367-f16f2f5c61bb-12-$record.itemnumber","01927d09-0404-7268-8367-f16f2f5c61bb","0196d464-3975-777f-ab23-66b462ab14d4",CypressTC5 – Streamer Test,"12",2025-05-15 00:00:00.000,Study-192280,CNTO4424--309491--946660--TV-TEC-155999--F-2019-13388,"4424 Cork FB 20kg RTP G1 50g/L",A,Y,Monitoring,TV-TEC-155999,"946660",Fri Nov 08 00:00:00 EST 2019,"Janssen Sciences Ireland (JSI), Cork, Ireland",,,Leiden_API-L,Leiden_API-L,Fri Sep 20 00:00:00 EDT 2019,
