"primary_key","object_id","product_family_id","product_family_name","product_family_number","laststreameddate","itemnumber","itemname","description_of_issue","state","operating_company","segment","creation_date","escalation_lead_or_quality_rep","action_plan_or_proposed_action","highest_escalation_level_reached","user_comments"
"01966ca2-7ddd-7085-bc3d-0966f1ce7f5a-19cf16f3-2173-4c37-b752-c4bbd18f74ce-1234-$record.itemRef","19cf16f3-2173-4c37-b752-c4bbd18f74ce","01966ca2-7ddd-7085-bc3d-0966f1ce7f5a",CypressTC2 – Streamer Test,"1234",2025-05-13 00:00:00.000,"2343045",Critical Observation-SUKL (Czech Republic) Inspection Report-Clinical Site GCP inspection Dr. Marcela Svobodova,"Critical Observation: 
SUKL (Czech Republic Regulatory Agency - State Institute for Drug Control) conducted on 12-14SEP2023 a routine GCP Inspection of the clinical site “CCR Czech”. This Clinical Trial Unit is a private site, running multiple clinical studies. The site is located in Třída Míru/Pardubice - Czech Republic. 
This GCP Inspection was not specific to a clinical study but focused on the site’s processes and organization.  The J&J sponsored-study CNTO1959PSA3004 (Phase 3b, Guselkumab - Active Psoriatic Arthritis), monitored by the CRO Parexel was selected by the Inspectors, among 7 other studies (different sponsors).

At the time of the inspection, for the study CNTO1959PSA3004, there were 2 Screening Failures Subject and 1 Subject in screening. 

The inspection report (local language) was issued to the Site on 09DEC2023. The site provided the CRO on 20DEC2023 with an extract of the inspection report (local language) with the relevant/applicable inspection observations. The translated version was provided to the Sponsor on 29DEC2023. The extract contained 1 critical and 6 Major observations.

The Critical finding is related to inadequate delegation of study related tasks/activities by the Principal Investigator to non-specialist (psoriatic arthritis/dermatologists) physicians.  Others Major observations were related to inadequate documentation of delegation (related to the Critical observation), source documentation insufficiencies, and deficient contractual documentation … 

The Sponsor and the CRO will support the clinical site in the development of the response/CAPA. Impact on patient’s safety and data integrity is limited.",Closed,Janssen Pharmaceutical,Pharma - R&D,2024-01-02 18:14:59.000,"Bodnar, Annemarie","Czech Republic: State Institute for Drug Control (SUKL)  inspection report-critical observation related to inadequate delegation of study related tasks/activities by the Principal Investigator to non-specialist (psoriatic arthritis/dermatologists) physicians. CURVE# 377762

Actions
The Sponsor and CRO Teams will partner with the PI in addressing the non-compliances noted in the inspection report.",No Subsequent Escalation,
"01966ca2-7ddd-7085-bc3d-0966f1ce7f5a-1c5c1f77-2ffa-4def-9923-5ecb57b03670-1234-$record.itemRef","1c5c1f77-2ffa-4def-9923-5ecb57b03670","01966ca2-7ddd-7085-bc3d-0966f1ce7f5a",CypressTC2 – Streamer Test,"1234",2025-05-13 00:00:00.000,"2068917",ICSRs not triggering for submission to Health Canada,"Trigger(s) for escalation:
- Significant volume of missed Individual Case Safety Reports (ICSRs) submissions to Health Canada (HC)

Issue background and description:

On 22 Dec 2021, the Drug Safety Surveillance (DSS) Canada Local Safety Unit (LSU) submitted a ticket to the Global Medical Safety (GMS) Support Desk, to investigate an unexpected decrease in ICSR case volume from their Outbound Submission Tracking (OST) inbox.  Following assessment by Aris Global (the Global Safety System IT vendor), it was confirmed that a technical issue had occurred with the distribution rules (DRs). A Quality Issue (2066099) was subsequently opened on 7 Jan 2022 to investigate. Preliminary impact determined by the Safety Reporting group on 14 Jan 2022 identified in excess of 1,543 potentially missed ICSRs, from a retrospective review (covering 18 Dec 2021 - 30 Dec 2021), with multiple DRs impacted. Escalation lead was subsequently notified. 

A fix was applied to the production environment on 31 Dec 2021 to ensure the DR logic was fixed, with monitoring in place to ensure submissions are being generated as expected.

Preliminary cause is attributed to inadequacy in the IT DR Design specification and unit testing by the vendor.

The total number of impacted DRs and overall number of missed submissions is TBD. Aris Global are investigating and a team has been convened to determine the total number of missed submissions and identify root cause. In addition to the HC impact, the DR issue has been provisionally determined to impact MHRA reporting of seven Consumer cases. 

There is no impact on patient safety as the cases are in the safety database and included in routine safety signal detection activities. However, impact on regulatory compliance will be significant based on the provisional numbers.

Next steps: A for-cause audit of Aris Global is planned for February 2022.",Closed,Janssen Pharmaceutical,Pharma - R&D,2022-01-14 18:27:43.000,"Churchill, Alison",For-cause audit of Aris Global in February 2022,No Subsequent Escalation,
"01966ca2-7ddd-7085-bc3d-0966f1ce7f5a-1ce72e8b-2901-48d1-97d0-ef6da676c04a-1234-$record.itemRef","1ce72e8b-2901-48d1-97d0-ef6da676c04a","01966ca2-7ddd-7085-bc3d-0966f1ce7f5a",CypressTC2 – Streamer Test,"1234",2025-05-13 00:00:00.000,"2145203",Qiagen False Positive FGFR Test Results in Patients Screened for Erdafitinib Clinical Trials (Jan-Jun 2022),"Trigger for Escalation - Patients were erroneously enrolled based on False Positive FGFR test results, which could potentially impact patient safety and trigger health authority reporting.

Background Information:  
 
29 total Erdafitinib patients are impacted by the False Positive FGFR test results.  Out of 29 impacted patients, 25 patients who had false positive FGFR test results either screen failed, were waiting for pending results, or otherwise did not qualify for enrollment on studies.  

The remaining 4 patients who are enrolled based on False positive FGFR test results are summarized below:
 
?	2 patients received treatment with erdafitinib: 
           -  42756493BLC3001 (THOR):    1 UK patient
           -  42756493BLC2002 (NORSE):  1 Taiwan patient

?	2 patients received treatment with comparator chemotherapy drugs:
           -  42756493BLC3001 (THOR):     1 China patient
           -  42756493BLC2003 (THOR-2):  1 Japan patient

Investigators are being asked by Janssen clinical teams to determine the best course of action for each of the 4 enrolled patients.",Closed,Janssen Pharmaceutical,Pharma - R&D,2022-07-22 16:11:39.000,"NGUYEN, MYHANH","Qiagen Proposed Actions/Next Steps

-  Qiagen has opened a Quality Investigation to determine root cause of the False Positive test results
-  Qiagen has submitted a Device Deficiency Assessment (DDA) report on 11Jul22 to LabCorp
-  LabCorp sent DDA report (11Jul22) to respective ECs for each region of testing sites, requesting ECs to approve new workflow for assessing PCR amplification curves before releasing positive results
-  LabCorp personnel will be trained to perform manual review of the PCR amplification curves prior to release of POSITIVE results


Janssen Proposed Actions/Next Steps

-  For all impacted patients:  Inform applicable IRB/EC.  Re-consent patients if the investigators decide to continue patients on treatment,
-  False positive test results patients in screening, who have not received study treatment, will be screen failed.  Document in CTMS as Central study issue
-  Raise Major Protocol Deviation (MPD) for false positive patients that are on treatment
-  Notification letters have been distributed to Investigators",No Subsequent Escalation,
"01966ca2-7ddd-7085-bc3d-0966f1ce7f5a-1e0ed73f-564f-4181-84b5-45a9f9bf683d-1234-$record.itemRef","1e0ed73f-564f-4181-84b5-45a9f9bf683d","01966ca2-7ddd-7085-bc3d-0966f1ce7f5a",CypressTC2 – Streamer Test,"1234",2025-05-13 00:00:00.000,"2194242",Level 2- AC-077A301 Miscommunication of Interim Analysis recommendation from IDMC to Sponsor Committee,"After interim analysis for the AC-077A301 trial the IDMC reflected in its meeting minutes a recommendation to stop the study due to efficacy in March 2022. However, the recommendation provided to the Sponsor Committee by the IDMC on 21Mar22 was to stop the study (no reason specified). The recruitment was then stopped, and patients continued in double blind phase potentially delaying their transition to open label treatment.

The AC-077A301 (A DUE) trial Independent Data Monitoring Committee (IDMC) completed their review of the Interim Analysis (IA) data in March 2022 with recommendation to stop the study per the blinded IDMC meeting report.  In review of communications from March 2022 between the IDMC and the SC the understanding of this recommendation was that the study was to stop recruitment of new patients and complete the final planned analysis; however, upon review of the closed session meeting minutes in November 2022 the IDMC had recommended to stop the study due to efficacy - which was not done.  

The IDMC had a regular meeting in May 2022 where a written recommendation was provided to continue study unmodified until next scheduled meeting. 

The study participants continued in the double-blind phase of the A DUE trial instead of completing the end of double-blind treatment visit (EDBT) and transition to the open label phase of the trial and be receiving the Fixed-dose-combination treatment if study had stopped for efficacy.  The study participants not included in the IA primary analysis were potentially delayed in moving to the open label phase of the trial until after completion of Week 16 visit.  Impact assessment for safety and efficacy is pending.

A quality investigation is in progress to assess root cause of the miscommunication and impact assessment for patients under monotherapy that continued in the double-blind phase.",Closed,Janssen Pharmaceutical,Pharma - R&D,2022-11-22 16:22:08.000,"NIZNIK, MICHELLE","Complete impact assessment for safety and efficacy for patients in monotherapy arm that did not transfer to open label phase after IDMC meeting in March 2022.

Assess potential enhancements to IDMC charter or IDMC meeting report and recommendation template /script to ensure clarity  in communications and recommendations at IA.

Request any additional communications from Sponsor Committee and IDMC members related to outcome of interim analysis and to recommendation made.",No Subsequent Escalation,
"01966ca2-7ddd-7085-bc3d-0966f1ce7f5a-2098a25a-576f-416f-93fe-870e08a53c31-1234-$record.itemRef","2098a25a-576f-416f-93fe-870e08a53c31","01966ca2-7ddd-7085-bc3d-0966f1ce7f5a",CypressTC2 – Streamer Test,"1234",2025-05-13 00:00:00.000,"2134080",PQC 90000236898-CNTO1959 - Prefilled syringe and Ultra safe device disconnected,"Complaint PQC 90000236898 received from Japan on June 22nd, 2022, reporting for CNTO1959 investigational product (IP) that the plunger part and the safety guard part of the prefilled syringe part were not united in the kit. 
This was noted for all the 12 Kits received at clinical site. CNTO1959CRD3003 is a Japan only trial and the kits were originating from packaging order 4383127.      
On June 24th, 2022, a second complaint was received from another Japanese site reporting the same defect. Kits were originating from the same packaging order 4383127.                 
The reported complaint results in a non-functional product. Acceptable product from another packaging order is available at site and as such no direct impact towards patient and study towards IP availability.                                                                                                         
Initial investigation at the manufacturing sites Schaffhausen (syringe filling & device assembly) and Beerse (clinical labelling and packaging) didn’t reveal any abnormalities. Further investigation including the logistic part is ongoing.                                                                                                                                
Issue is being escalated because of the potential impact to study CNTO1959CRD3003. Root cause investigation and CAPA plan needs to be submitted to the Japanese clinical site R50-JP1001 by June 27th, 2022 in order to avoid this site dropping out of the trial.",Closed,Janssen Pharmaceutical,Pharma - R&D,2022-06-24 16:17:07.000,"MICHIELSEN, Christof","eA level 1 escalation meeting took place on 27-June-2022. The following decisions were made (see also attachments to meeting minute child record 2134689): 
1. Japan to confirm that packaging order 4383127 is placed on hold and not further distributed pending outcome of the investigation.
2. Install visual inspection at Japan (as per Japan proposed process) in order to avoid defective kits at site
3. Provide the field samples to Schaffhausen ASAP to support the investigation
4. LTM to inform site on the status of the complaint investigation with regard to potential root cause and CAPA plan
5. Install an IMT under the lead of the CSI Marybeth O’Neill to follow up on investigational actions, CAPA implementation and supply plan.

The following actions were agreed as part of the level 1 escalation (see also attachments to meeting minute child record 2134689):
1) Implement the visual inspection at Japan Depot as per Japan proposed procedure
2) Activate IMT to
i. Further follow up the root cause investigation actions
ii. Assess the clinical blister configuration vs. commercial blister configuration in order to reduce the sensitivity of the product for external stress.
iii. Manage supply needs

No further escalation required as the reported complaint results in non-functional product. Impact to patient and study is excluded as resupply is available.
Further investigation into the root cause and possible corrective/preventive actions will be followed-up in QI 2133985.

QA MIC 01-sep-2022: 
Record was accidentally closed on 27-Jun-2022. Build-in Assessment in Trackwise  decided that ""No escalation"" was required, but nevertheless it was decided to escalate the record. When progressing the record to the investigation phase it was auto-closed by Trackwise. Record was reopened to allow for creation of escalation meeting child record. All required information was added after the reopening by 29-jun-2022. After reopening the ""escalation assessment"" step by the ""escalation assessment approver"" also needs to be done again. This step also needs to be completed before the record can be progressed to the closure status. Due to absence during the holiday period this activity could not be completed earlier. This is the reason for the delay of actual closure of the REACT-record.",No Subsequent Escalation,
"01966ca2-7ddd-7085-bc3d-0966f1ce7f5a-243add52-83fd-4df8-9872-6c74ea1bfbd3-1234-$record.itemRef","243add52-83fd-4df8-9872-6c74ea1bfbd3","01966ca2-7ddd-7085-bc3d-0966f1ce7f5a",CypressTC2 – Streamer Test,"1234",2025-05-13 00:00:00.000,"2134073",Clinical Investigator site reported a Serious Breach to MHRA regarding participants treated with Investigational Product,"Janssen was made aware  of a Serious Breach notification submitted by site management organization (SMO), Panthera BioPartners, Ltd. to the MHRA on 13 June 2022 regarding 14 participants potentially treated with active investigational product (IP) or placebo IP that was not monitored for temperature at the site of PI Dr. Torku (UK10016) in trial VAC18193RSV3001.   The study is blinded, and it is not confirmed which subjects received active IP or placebo IP.  

Active IP to be stored at 02-08 C was not monitored for temperature between 02 May to 26 May 2022.  There were 14 subjects dosed with active IP or Placebo within this timeframe.  During a routine check by the site staff, it was noticed the electronic temperature monitoring system (probe) had malfunctioned and gone offline in the refrigerator containing active IP.  There were no power failures or malfunctions of the refrigerator.   In addition, temperature of placebo IP in an ambient storage area has not been monitored since the start of the trial.  Overall, there have been no previous storage temperature excursions reported by the site.   A quality investigation has been initiated by the site management CRO, IQVIA (QI 616427).   

On 24 June, Janssen Temperature Management concluded that no impact towards product quality is expected for IP stored in the refrigerator or in ambient storage area where temperature monitoring was not conducted.  

14 participants may have been dosed with the active IP within the window when the IP was not monitored in the refrigerator.  A review conducted by Janssen’s Study Responsible Physician indicated there are no adverse events or early withdrawals reported for these participants and there is no safety concern based on current data.   

On 23 June, the site contacted the sponsor to address 2 inquiries from the MHRA.  Janssen submitted a follow up Serious Breach report to the MHRA on 24 June 2022 , responding to the inquiries, and provided the outcome of Janssen's assessment of the quality issue, confirming there was no impact to product quality, patient safety, or overall data integrity of the trial.


September 19, 2024:  Record is re-opened per NC-021703 to add additional information relative to the serious breach notification.",Closed,Janssen Pharmaceutical,Pharma - R&D,2022-06-24 16:10:16.000,"Patel, Parul","•	The remaining IP was quarantined at the site and within the Interactive Response Technology (IRT) system and randomizations at the site have been placed on hold.  
•	Site has replaced the malfunctioning temperature probe in refrigerator. 
•	Site staff retrained on procedures for recording electronic ambient temperatures 
•	Site staff retraining on procedures for recording temperature manually in event of equipment malfunctions in the refrigerator
•	Janssen submitted a follow up report to the MHRA with the Sponsor assessment on 24 June",No Subsequent Escalation,
"01966ca2-7ddd-7085-bc3d-0966f1ce7f5a-24c7bd03-da39-40b8-a6de-2682150bfe07-1234-$record.itemRef","24c7bd03-da39-40b8-a6de-2682150bfe07","01966ca2-7ddd-7085-bc3d-0966f1ce7f5a",CypressTC2 – Streamer Test,"1234",2025-05-13 00:00:00.000,"2130150","64407564MMY1004 (MonumenTAL-2) dosing error","Trigger for escalation:
Several incorrect doses were administered to a patient due to body weight calculations not being performed as required

On 09Jun2022 the Site Manager identified that incorrect doses were administered for patient 200038 at site NL10003/MUMC/Dr. van Elssen. This was detected by noting discrepancies in the pharmacy and site source documentation. During that review it was identified that an incorrect body weight was used when calculating the dose (65kg instead of 57kg) on C1D1 (Step-up dose 1), C1D4 (Step-up dose 2), C1D8 (Step-up dose 3) and C1D15 (treatment dose). The overdoses for this patient are summarized below:
SU dose #01 administered on 29Apr2022: expected dose to be administered was 0,57mg, administered dose was 0,64 (total of 12,3% overdose).
SU dose #02 administered on 02May2022; expected dose to be administered was 3,4mg, administered dose was 3,9mg (total of 14,7% overdose).
SU dose #03 administered on 06May2022: expected dose to be administered was 17,1mg, administered dose was 20mg (total of 16,9% overdose).
C1D15 (treatment dose) was administered on 13May2022: expected dose to be administered was 34,2mg, administered dose was 40mg (total of 17% overdose). 

During investigation of the overdose errors it was also discovered that noncompliance with IPPI in regards to the incorrect use of needle size used for IP preparation may have also occurred. This may have additional impact on the dose levels identified (however impact is expected to be minor). 

Scope of the issue is limited to patient 200038 at site NL10003 in trial 64407564MMY1004. 
Two CRS events have been reported for this patient:
- Gr 1 CRS observed 03-06 May 2022
- Gr 1 CRS observed 12-14 Jun 2022

As per the Study Responsible Physician: the patient experienced Gr1 CRS after the 2nd step-up dose. It can’t be ruled out if the higher incorrect dose contributed, however CRS is an expected toxicity of talquetamab and Gr1-2 CRS is commonly expected during the initial doses of Tal during Cycle 1. The safety impact of Gr1 CRS during SU2 is not significant.",Closed,Janssen Pharmaceutical,Pharma - R&D,2022-06-15 17:50:43.000,"DALTON, PATRICK","- Retraining of the site was performed 10Jun2022 (pharmacy and site staff)
- Next dosing is planned for 16Jun (pt 200048) and 23Jun2022 (pt 200038). Correct dose calculation and use of needles will be confirmed by Site Manager (SM)
- PIPS will join visit to site and pharmacy on 23Jun2022 to review worksheets used for IP preparation and administration for both pts.  
- Meeting will be scheduled with head pharmacist and PIPS/SIPS (date tbd)
Any further impact on patient safety is still to be determined and root cause investigation is ongoing.",No Subsequent Escalation,
"01966ca2-7ddd-7085-bc3d-0966f1ce7f5a-25485af6-e022-42f7-b035-05b57307acbf-1234-$record.itemRef","25485af6-e022-42f7-b035-05b57307acbf","01966ca2-7ddd-7085-bc3d-0966f1ce7f5a",CypressTC2 – Streamer Test,"1234",2025-05-13 00:00:00.000,"2037011",Critical Audit Observation: Misconduct / Falsification of data,"In follow-up to Escalation REACT #2026100 issued 01OCT2021 and to support the Sponsor’s oversight and diligence, a for-cause GCP Clinical Investigator Site audit was conducted on 18OCT2021 by Janssen BRQC QA at the site of Dr Martinot (Site U38-BE10005, Namur, Belgium) as part of the Study VAC31518COV3009. This study is monitored by IQVIA.

The audit confirmed the falsification of e-diary information for at least 8 subjects (132 subjects enrolled at the site).  
The e-diaries were completed by a study staff member (a student, not medically qualified, employed as an Administrative Assistant) and not by the study participants or their caregivers.  The Administrative Assistant recorded the data using the participants’ credentials and, the e-devices (phones) initially provided to the participants but returned to the site.  The participants’ credentials were noted on back on the devices (sticky notes) according to the Study Coordinator, interviewed during the audit. 
 
The falsified entries for those 8 subjects were recorded with different devices at unexpected times (during the night) and a few seconds/minutes apart. For the falsified entries, there was no documentation supporting direct contact/communication between the Administrative Assistant and the participants. 

The Principal Investigator indicated that he only became aware of this issue recently (mid-SEP2021) and confirmed that the data were recorded by the Administrative Assistant. The Principal Investigator stated that the Administrative Assistant acted on his own initiative. As the Assistant was not available during the audit, this statement could not be corroborated. According to the PI and the Study Coordinator, the assistant is still employed by the site.

The Principal Investigator stated that there were regular medical follow-up contacts with these participants (contacts with family, relatives or friends). No source documentation was available to support those regular contacts and the medical follow-up. It was confirmed that the ediaries specific questions were not asked/answered twice a week in contradiction with the Study Protocol. 

Additional data integrity/data privacy concerns were identified during the audit which will be included in the audit report.  

References 
Guideline for Good Clinical Practice ICH E6 (R2), 2.10, 2.11 ; 4.9",Closed,Janssen Pharmaceutical,Pharma - R&D,2021-10-28 15:11:42.000,"Ouwerkerk, Mattheus","Actions

•	IQVIA to continue the technical investigation and assess the extent of this issue across the study. 
•	Janssen to determine the direct impact on data integrity for the site.
•	Consideration for Serious Breach and FDA OSI reporting",No Subsequent Escalation,
"01966ca2-7ddd-7085-bc3d-0966f1ce7f5a-27639314-6df1-49ad-bd30-7d7752f3a4d6-1234-$record.itemRef","27639314-6df1-49ad-bd30-7d7752f3a4d6","01966ca2-7ddd-7085-bc3d-0966f1ce7f5a",CypressTC2 – Streamer Test,"1234",2025-05-13 00:00:00.000,"2264663","Level 1, Incorrect drug admin to a participant, then hospitalized for observation of potential TLS, CRS & neurotoxicity","On 19May23, participant V47FI10001002 at site V47FI10001 (PI Mikko Keranen) in Finland in the CART 5 (68284528MMY3004) study, was due to receive Velcade (Bortezomib) as part of VRd* regimen, Cycle2, Day11 per CARTITUDE 5 protocol. However, instead the study nurse administered talquetamab (54mg, 0.6mg/Kg) by mistake. Talquetamab is part of a pre-approval access program 64407564MMY4002 in Finland for relapsed/refractory multiple myeloma.  

Impact:
The participant was immediately hospitalized as a precaution for observation and monitoring of potential Tumour Lysis Syndrome (TLS**), Cytokine Release Syndrome (CRS***) and neurotoxicity. The participant was administered  dexamethasone, diphenhydramine, acetaminophen and tocilizumab to prevent potential CRS. In addition, the participant received additional dexamethasone and cetirizine (see below).The participant was discharged from hospital (when considered stable by the PI) on 22May23. 

No other participants received an incorrect drug/dose (the unused Velcade was destroyed and a new talquetamab was prepared for the pre-approval access participant).
This was a major protocol deviation and met withdrawal criteria for the CARTITUDE 5 study.
One other participant is ongoing at the site for the CARTITUDE 5 study. Further investigational product scheduled for this participant consists only of PO administration of Rd (Prior Velcade administrations were completed correctly). 
Prior to this incident the site has had good quality in their work and compliance with the protocol etc. for the first 2 subjects

Initial root cause is that there was a mix up between a syringe prepared for this participant for Velcade and another syringe prepared for a pre-approval access participant for talquetamab. The study nurse indicated that she did not check the participant names/numbers properly against the syringe label before administering the dose. 

SAE further details: While hospitalized, on the evening of May 19th the participant had a drop in blood pressure (80/54), felt weakness and was administered IV fluids, dexamethasone 20mg x 2 days and cetirizine 10mg PO x 2 days for CRS prophylaxis. Blood pressure subsequently normalized. The participant did not have any other symptoms of CRS however they were receiving paracetamol that could have masked any fever.  No neurotoxicity was experienced.

Notes:
*VRd is the regimen of Bortezomib (Velcade), Lenalidomide and Dexamethasone.
** Tumour Lysis Syndrome (TLS) is a condition that can occur after treatment of a fast-growing cancer, especially certain leukemias and lymphomas (cancers of the blood). As tumor cells die, they break apart and release their contents into the blood. This causes a change in certain chemicals in the blood, which may cause damage to organs, including the kidneys, heart, and liver.
***Cytokine release syndrome (CRS) is an acute systemic inflammatory syndrome characterized by fever and multiple organ dysfunction that is associated with immunotherapy, such as talquetamab

Protocol title (CARTITUDE 5):  A Phase 3 Randomized Study Comparing Bortezomib, Lenalidomide and Dexamethasone (VRd) followed by Ciltacabtagene Autoleucel, a Chimeric Antigen Receptor T cell (CAR-T) Therapy
Directed Against BCMA versus Bortezomib, Lenalidomide, and Dexamethasone (VRd) followed by Lenalidomide and Dexamethasone (Rd) Therapy in Participants with Newly Diagnosed Multiple Myeloma for Whom Hematopoietic Stem Cell Transplant is Not Planned as Initial Therapy",Closed,Janssen Pharmaceutical,Pharma - R&D,2023-05-24 16:31:07.000,"Haydon, Jane","Actions taken/planned:
- On 19May23 an SAE was reported
- Participant was removed from CARTITUDE 5 study. Washout will be sufficient to continue Velcade in 10 days. Possibility of access programs is being assessed.
- On 23May23, initial retraining of the study nurse was performed by the Site Manager (SM) via phone  
- SM to confirm if this as an isolated quality incident at the site and investigate further root cause of the injection mix up and support site CAPA. 
- On 29May23, SM site visit is planned  
- Temporary screening hold – decision to be reviewed by central study team after SM visit and update received on root cause, quality status of site and CAPA in place.
- Local team to report to EC and HA (per local requirements if applicable)
- Medical Affairs team to confirm sufficient talquetamab is at site for pre approval access program.",No Subsequent Escalation,
"01966ca2-7ddd-7085-bc3d-0966f1ce7f5a-28162b10-002b-44e0-91ec-c3a407d5f924-1234-$record.itemRef","28162b10-002b-44e0-91ec-c3a407d5f924","01966ca2-7ddd-7085-bc3d-0966f1ce7f5a",CypressTC2 – Streamer Test,"1234",2025-05-13 00:00:00.000,"1999394",Biomarker samples not processed 2 studies for all requested flowcytometry panels by the vendor CellCarta (Caprion).,"On May 7, 2021 Janssen received a notification that in study 75348780LYM1001 T-cell activation panel was not processed for 7 flowcytometry samples and B cell phenotyping panel was not processed for 2 flowcytometry samples.
On Jun 15, 2021 Janssen received a notification that in study 70218902EDI1001 T-cell activation panel was not processed for 6 flowcytometry samples and B cell phenotyping panel was not processed for 2 flowcytometry samples.
Impacted samples could not be re-analyzed (out of stability). Samples contributed to exploratory study end points.  
Both issues were already entered as self-identified issues, 1971926; 1993796, however due to the repeated event it was decided to rate the event as systemic and initiate a REACT record.",Closed,Janssen Pharmaceutical,Pharma - R&D,2021-07-23 17:09:56.000,"POLLARINE III, JOSEPH",Follow-up with supplier to assess their investigation and corrective action plan and outcomes and assess robustness of corrective and preventative actions to assure issue does not repeat,No Subsequent Escalation,
"01966ca2-7ddd-7085-bc3d-0966f1ce7f5a-2823814e-f55a-4974-82df-1a6e5f4c3ba9-1234-$record.itemRef","2823814e-f55a-4974-82df-1a6e5f4c3ba9","01966ca2-7ddd-7085-bc3d-0966f1ce7f5a",CypressTC2 – Streamer Test,"1234",2025-05-13 00:00:00.000,"2007105",COV19VAC_VAC31518COV3001_Multiple GCP issues T43-US10059 Dr Novak,"The CRA detected several GCP non-compliances including site staff sharing usernames/passwords for trial systems’ access, non-medically qualified staff assessing eligibility and performing physical exams and/or tasks to which they were not delegated, consent process not per IRB requirements including back-dating of informed consent forms, lack of documentation of site staff training, non-compliance of eDiary completion (3 participants)
This site enrolled 110 participants.

Root Cause
•	Lack of PI oversight and lack of training of site staff on protocol and GCP 
•	Delayed detection due to CRA resourcing issues, first monitoring visit was unable to be conducted until 08-Jan-2021. 

Impact
•	Potential impact to participant safety and data integrity. Investigation ongoing.",Closed,Janssen Pharmaceutical,Pharma - R&D,2021-08-12 17:33:33.000,"DEMUTH, DENIS","Actions:
•	CRA to follow-up with site to perform re-training and ensure corrective and preventive actions are implemented.
•	IQVIA to assess site to be flagged in their Clinical Trial Management system (CTMS) to avoid use of the site for future trials",No Subsequent Escalation,
"01966ca2-7ddd-7085-bc3d-0966f1ce7f5a-28e30315-063f-4253-b42b-53f2b70b6868-1234-$record.itemRef","28e30315-063f-4253-b42b-53f2b70b6868","01966ca2-7ddd-7085-bc3d-0966f1ce7f5a",CypressTC2 – Streamer Test,"1234",2025-05-13 00:00:00.000,"2041096",Potential Data Integrity/GCP non-compliance at clinical sites managed by Ventavia Research Group,"An investigation report published in the British Medical Journal (BMJ) on 02 November 2021 described serious GCP non-compliance, data integrity and patient safety concerns at Ventavia Research Group, a site network organization in the United States that participated in the Pfizer COVID vaccine program.  A former employee of Ventavia reported the events to the FDA.  Upon review of the online report, Janssen identified that the same organization is participating in clinical trials in the COVID and RSV programs at Janssen.   Ventavia is a listed as the Institution in site/study level Clinical Trial Agreements.

Overall, two PIs affiliated with Ventavia Research have screened a total 66 subjects and enrolled 58 across the Janssen RSV and COVID studies.   PI Issac Watember enrolled 53 subjects in VAC18193RSV2001.  The site is now closed for that study and no patients are in follow up.   PI Fuller enrolled 5 subjects in VAC31518COV3003 and the site is still in execution.  PI Fuller is also in start-up activities for VAC31518COV3005.  No participants have been enrolled in the COV3005 study. 

A Quality Issue Summary report (QI - 546292) issued by IQVIA (CRO for RSV2001) in March 2021 for PI Watember indicated the following non-compliance issues: clinical assessment of safety events were conducted by inappropriately delegated site staff, lack of PI oversight, late SAE reporting, and non-compliance with required sample storage conditions.   An investigation was initiated related to the QI and all corrective and preventive actions were completed.",Closed,Janssen Pharmaceutical,Pharma - R&D,2021-11-08 17:26:52.000,"DEMUTH, DENIS","•	A self-identified QI has been opened which will detail actions including a review and assessment of quality and compliance data and monitoring visit reports for PIs in scope.   
•      Assessment by BRQC QA for an on-site audit at both PIs that have enrolled patients in Janssen RSV and COVID studies.",No Subsequent Escalation,
