"primary_key","object_id","product_family_id","product_family_name","product_family_number","laststreameddate","itemref","spec_id","version","product_or_material_description","version_status","spec_name","notes","common","local_ref","create_by","approved_by","approval_reason","smd_reference","make_current","analysis","measurement","concatenate_cqa","limit_type_id","limit_1","limit_2","units","stability"
"01968265-dd3a-7ecf-97ba-98a42721ed68-019276a7-76e1-7553-8b0a-2ad4aa6dc3e2-123-Spec-00040113|22|15N|PEPTIDE MAPPING : Component 15|CHAR|>|-99999|||%","019276a7-76e1-7553-8b0a-2ad4aa6dc3e2","01968265-dd3a-7ecf-97ba-98a42721ed68",CypressTC3 – Streamer Test,"123",2025-05-12 00:00:00.000,Spec-00040113|22|15N|PEPTIDE MAPPING : Component 15|CHAR|>|-99999|||%,Spec-00040113,"22",JNJ-61186372 AMIVANTAMAB SUBCUTANEOUS GEN2 PPQ AND POST-PPQ DRUG PRODUCT,A,SPECIFICATIONS AND JUSTIFICATION OF SPECIFICATIONS FOR JNJ-61186372 AMIVANTAMAB SUBCUTANEOUS GEN2 PPQ AND POST-PPQ DRUG PRODUCT - RELEASE - (SC),"18-Jul-2024 tlinack (SC) - Created version in error, no updates were performed.

19-Jul-2024 tlinack (SC) - Spec-00040113 according to CoC 2162510 + LCRF
1. Template EL-SC-VFP-25 added to Param List PARTICULATE MATTER 8 (v1) 1LIST 
2. Template EL-SC-VFP-25 added to Param List IC VFP STG1 B (2D 2C 2L)
",,,tlinack,sademosk,CoC 2162510 ,"TV-SPEC-67180, TV-SPEC-70238, TV-TEC-250649, TV-SPEC-66430, TV-SPEC-69985, TV-SPEC-54413, TV-SPEC-61505",Tue Jul 23 10:51:34 EDT 2024,PEPTIDE MAPPING,Component 15,PEPTIDE MAPPING : Component 15,CHAR,> -99999,,%,F
"01968265-dd3a-7ecf-97ba-98a42721ed68-019276a7-b97f-7f2a-9aaf-9a954513fad6-123-Spec-00039784|15|15N|PEPTIDE MAPPING : Component 15|CHAR|>|-99999|||%","019276a7-b97f-7f2a-9aaf-9a954513fad6","01968265-dd3a-7ecf-97ba-98a42721ed68",CypressTC3 – Streamer Test,"123",2025-05-12 00:00:00.000,Spec-00039784|15|15N|PEPTIDE MAPPING : Component 15|CHAR|>|-99999|||%,Spec-00039784,"15",JNJ-61186372 160 MG/ML GEN2 SBL/CORK PPQ FORMULATED BULK (MM#310817; A3E/563475),A,SPECIFICATIONS AND JUSTIFICATION OF SPECIFICATIONS FOR JNJ-61186372 AMIVANTAMAB 160 MG/ML GEN2 SBL/CORK AND SBL-P4 PPQ AND POST-PPQ FORMULATED BULK   (GLOBAL MM#310817; A3E/563475),"PKuruva (GVW) - 24/Jul/2024 - Update of specification as per LCRF.
1. Removed Worksheet Template for BIOASSAY parameter list.
2. Updated Worksheet Template for DOT BLOT IDENTITY parameter list.
3. Added BINDING ASSAY 1 and BIOASSAY 1 parameter lists.
",,,pkuruva,Mcolli34,Reviewed/Approved as per LCRF,TV-SPEC-67179,Fri Jul 26 15:41:26 EDT 2024,PEPTIDE MAPPING,Component 15,PEPTIDE MAPPING : Component 15,CHAR,> -99999,,%,F
"01968265-dd3a-7ecf-97ba-98a42721ed68-019276a8-0c5c-731d-bdb4-f03009204cf8-123-Spec-00023860|9|25N|OLIGOSACCHARIDE MAP : Component 15|CHAR|>|-99999|||%","019276a8-0c5c-731d-bdb4-f03009204cf8","01968265-dd3a-7ecf-97ba-98a42721ed68",CypressTC3 – Streamer Test,"123",2025-05-12 00:00:00.000,Spec-00023860|9|25N|OLIGOSACCHARIDE MAP : Component 15|CHAR|>|-99999|||%,Spec-00023860,"9","JNJ-61186372, CNTO 4424 FVP Development 50mg/ml Formulation B",A,"JNJ-61186372, CNTO 4424 FVP Development 50mg/ml Formulation B Acceptance Criteria","joconn40 Cork_API-L 09Dec19- Updated method reference for Turbidity and updated worklists for Bioassay 13, CSDS R, CSDS NR, SE-HPLC and CIEF.",,,joconn40,loconno5,,,Tue Dec 10 09:01:33 EST 2019,OLIGOSACCHARIDE MAP,Component 15,OLIGOSACCHARIDE MAP : Component 15,CHAR,> -99999,,%,F
"01968265-dd3a-7ecf-97ba-98a42721ed68-019276a8-5c52-7feb-b928-6390e3a40174-123-Spec-00024378|9|25N|OLIGOSACCHARIDE MAP : Component 15|CHAR|>|-99999|||%","019276a8-5c52-7feb-b928-6390e3a40174","01968265-dd3a-7ecf-97ba-98a42721ed68",CypressTC3 – Streamer Test,"123",2025-05-12 00:00:00.000,Spec-00024378|9|25N|OLIGOSACCHARIDE MAP : Component 15|CHAR|>|-99999|||%,Spec-00024378,"9",JNJ-61186372 (CNTO 4424) 50 mg/mL Formulated Bulk,A,Specification and Justification of Specifications for Clinical JNJ-61186372 (CNTO 4424) 50 mg/mL Formulated Bulk (Global MM# 309278),"TASK000017288742 amchugh2 01MAR19  > Updated SMD Version to 2.0  >Added POLYSORBATE 80 (v1) 1TEXT, SUBUNIT LCMS (v1) 1TEXT, GLYCATION ANALYSIS (v1) 1TEXT & FREE THIOL (v1) 1TEXT  > Updated CIEF (v1) 9N 1LIST 4, CSDS REDUCED (v1) CNTO4424 2N 1LIST, HI HPLC (v1) 3N & SE-HPLC (v1) 3N  > Updated CoA Group & CoA Translation for OD280 C 1 (v1) 5N 3NC   > Update CoA Translation BIOASSAY 1 2N  ",,,amchugh2,loconno5,,"TV-SPEC-50156, DS-SPE-34672",Wed Mar 06 12:10:46 EST 2019,OLIGOSACCHARIDE MAP,Component 15,OLIGOSACCHARIDE MAP : Component 15,CHAR,> -99999,,%,F
"01968265-dd3a-7ecf-97ba-98a42721ed68-019276a9-29cb-746d-b899-9d2fd00ac5f5-123-Spec-00040098|2|15N|PEPTIDE MAPPING : Component 15|CHAR|>|-99999|||%","019276a9-29cb-746d-b899-9d2fd00ac5f5","01968265-dd3a-7ecf-97ba-98a42721ed68",CypressTC3 – Streamer Test,"123",2025-05-12 00:00:00.000,Spec-00040098|2|15N|PEPTIDE MAPPING : Component 15|CHAR|>|-99999|||%,Spec-00040098,"2",JNJ-61186372 SUBCUTANEOUS GEN2 PROCESS PERFORMANCE QUALIFICATION DP - STAB,A,SPECIFICATIONS AND JUSTIFICATION OF SPECIFICATIONS FOR JNJ-61186372 AMIVANTAMAB SUBCUTANEOUS GEN2 PROCESS PERFORMANCE QUALIFICATION DRUG PRODUCT - STAB,"28/Jul/2023 - pkalaimo (GVW) - Update of specification as per LCRF.
1. Added Worksheet Template for all applicable parameter lists.",,,pkalaimo,mari1,Reviewed and Approved,TV-SPEC-67180,Mon Jul 31 15:28:50 EDT 2023,PEPTIDE MAPPING,Component 15,PEPTIDE MAPPING : Component 15,CHAR,> -99999,,%,T
"01968265-dd3a-7ecf-97ba-98a42721ed68-019276a9-806f-7343-966d-0946fcf20971-123-Spec-00040098|17|15N|PEPTIDE MAPPING : Component 15|CHAR|>|-99999|||%","019276a9-806f-7343-966d-0946fcf20971","01968265-dd3a-7ecf-97ba-98a42721ed68",CypressTC3 – Streamer Test,"123",2025-05-12 00:00:00.000,Spec-00040098|17|15N|PEPTIDE MAPPING : Component 15|CHAR|>|-99999|||%,Spec-00040098,"17",JNJ-61186372 AMIVANTAMAB SUBCUTANEOUS GEN2 PPQ AND POST-PPQ DRUG PRODUCT - STAB,A,SPECIFICATIONS AND JUSTIFICATION OF SPECIFICATIONS FOR JNJ-61186372 AMIVANTAMAB SUBCUTANEOUS GEN2 PPQ AND POST-PPQ DRUG PRODUCT - STAB,"12Jul2024 Mcolli34 (eLIMS Global) As per LCRF:
1) Removed parameter IC SUBVIS 11 3N 8NC 5DATE 1T 1L 
",,,Mcolli34,mari1,Reviewed and Approved,TV-SPEC-67180,Mon Jul 15 06:00:00 EDT 2024,PEPTIDE MAPPING,Component 15,PEPTIDE MAPPING : Component 15,CHAR,> -99999,,%,T
"01968265-dd3a-7ecf-97ba-98a42721ed68-019276a9-84f2-74f2-acc0-5ebc842c2c9f-123-Spec-00040113|24|15N|PEPTIDE MAPPING : Component 15|CHAR 1|Not In|-99999|||%","019276a9-84f2-74f2-acc0-5ebc842c2c9f","01968265-dd3a-7ecf-97ba-98a42721ed68",CypressTC3 – Streamer Test,"123",2025-05-12 00:00:00.000,Spec-00040113|24|15N|PEPTIDE MAPPING : Component 15|CHAR 1|Not In|-99999|||%,Spec-00040113,"24",JNJ-61186372 AMIVANTAMAB SUBCUTANEOUS GEN2 PPQ AND POST-PPQ DRUG PRODUCT,A,SPECIFICATIONS AND JUSTIFICATION OF SPECIFICATIONS FOR JNJ-61186372 AMIVANTAMAB SUBCUTANEOUS GEN2 PPQ AND POST-PPQ DRUG PRODUCT - RELEASE - (SC),"15-Aug-2024 tlinack (SC) - Update of specification for commercial purpose as per ETS 2365185
1. Added Inhouse Reference to GLO + CHAR + IPC Limit Type
2. Added GLO 1, CHAR 1, IPC 1, ALERT and CLIN, CHAR 2, IPC 2 Limit Types
3. Added references on the INH Limit Type
4. Removed limits according to TV-SPEC-67180 v3.0 from the INH Limit Type
5. Updated WS on BIOBURDEN 1
6. Updated CoA Translation on IC COLOR INST SAMPLE (v2) 1NC 3TC 3T 3L, result EP-B rep + result EP-BY rep + result EP-Y rep
7. Updated Threshold as per provided Supplemental Info on SUCROSE (v1) 1N, but not on SE-HPLC (v1) 3N 1LIST 1, because this is not in alignment with site request
8. Updated unit on POLYSORBATE 80 (v1) 1N to ""% (w/v)""
NOTE: POLYSORBATE 80 (v1) 1N and SUCROSE (v1) 1N were set up with ""% (w/v)"" for all limit type per guidance of QC. This unit was chosen because this is the unit which is used in the COMM lab spec and in the TMDs. QC did't want to have an extra Parameter list with only ""%"" for CLIN and or PPQ purpose.
9. Updated CoA Translation and or CoA Group and or CoA Limit Text as per TV-SPEC-69985 v1.0 (GLO 1&CHAR 1) required, and added extended CoA Information as per TV-SPEC-67180 v3.0 (GLO&CHAR) and  TV-SPEC-66430 v5.0 (CLIN%CHAR2) as needed on following PL:
-POLYSORBATE 80 (v1) 1N
-PARTICULATE MATTER (v1) CNTO4424 1LIST
-PARTICULATE MATTER 7 (v1) 1LIST
-MDI 3RUN 10 25 70 C (v1) 2DATE 37N 15NC
-IC SUBVIS 11 (v1) 3N 8NC 5DATE 1T 1L
-IC A280 SAMPLE (v1) 6N 4NC
-PH20 ACTIVITY (v1) 1N
-CSDS REDUCED (v1) CNTO4424 2N 1LIST
-CSDS NON-REDUCED (v1) 1N 1LIST 2
-PEPTIDE MAPPING 1 (v1) 5N

NOTE:
PARTICULATE MATTER (v1) CNTO4424 1LIST + IC VFP STG1+ IC VFP STG2.1 + IC VFP STG3.1 is in use for 10mL 
PARTICULATE MATTER 7 (v1) 1LIST + IC VFP STG1 A+ IC VFP STG2.1 A + IC VFP STG3.1 A is in use for 14 mL and 15 mL
PARTICULATE MATTER 8 (v1) 1LIST + IC VFP STG1 B+ IC VFP STG2.1 B + IC VFP STG3.1 B is in use for 22mL",,,tlinack,lwerner3,ETS 2365185/  2365189,"TV-SPEC-67180, TV-SPEC-70238, TV-TEC-250649, TV-SPEC-66430, TV-SPEC-69985, TV-SPEC-54413, TV-SPEC-61505",Mon Sep 02 06:00:00 EDT 2024,PEPTIDE MAPPING,Component 15,PEPTIDE MAPPING : Component 15,CHAR 1,Not In -99999,,%,F
"01968265-dd3a-7ecf-97ba-98a42721ed68-019276ab-6977-76a7-a504-38a826f03475-123-Spec-00039784|8|15N|PEPTIDE MAPPING : Component 15|CHAR|>|-99999|||%","019276ab-6977-76a7-a504-38a826f03475","01968265-dd3a-7ecf-97ba-98a42721ed68",CypressTC3 – Streamer Test,"123",2025-05-12 00:00:00.000,Spec-00039784|8|15N|PEPTIDE MAPPING : Component 15|CHAR|>|-99999|||%,Spec-00039784,"8",JNJ-61186372 160 MG/ML GEN2 SBL/CORK PPQ FORMULATED BULK (GLOBAL MM# 310817),A,SPECIFICATIONS AND JUSTIFICATION OF SPECIFICATIONS FOR JNJ-61186372 AMIVANTAMAB 160 MG/ML GEN2 SBL/CORK PPQ FORMULATED BULK (GLOBAL MM# 310817),"11/Sep/2023 - Mari1 (QCO) - Update of specification as per LCRF.
1. Removed ""PEPTIDE MAPPING 1 - 1N parameter lists and Added PEPTIDE MAPPING 15N test.
2. Removed GLYCATION 1 - 1TEXT parameter lists and Added GLYCATION 1N test.
3. Removed SUBUNIT MASS - 1TEXT parameter lists and Added SUBUNIT MASS - 2TEXT test.",,,mari1,tshah1,Reviewed and Approved.,TV-SPEC-67179,Tue Sep 12 12:54:00 EDT 2023,PEPTIDE MAPPING,Component 15,PEPTIDE MAPPING : Component 15,CHAR,> -99999,,%,F
"01968265-dd3a-7ecf-97ba-98a42721ed68-019276ac-18db-790b-963f-0325ffb9db89-123-Spec-00043112|1|15N|PEPTIDE MAPPING : Component 15|CHAR|>|-99999|||%","019276ac-18db-790b-963f-0325ffb9db89","01968265-dd3a-7ecf-97ba-98a42721ed68",CypressTC3 – Streamer Test,"123",2025-05-12 00:00:00.000,Spec-00043112|1|15N|PEPTIDE MAPPING : Component 15|CHAR|>|-99999|||%,Spec-00043112,"1","AMIVANTAMAB SC DRUG PRODUCT (1600, 2240 MG) LABORATORY SPECIFICATIONS - STAB",A,"AMIVANTAMAB SC DRUG PRODUCT (1600, 2240 MG) LABORATORY SPECIFICATIONS - STAB",pkalaimo (GVW) - 07/Aug/2024 - Upload of specification as per TruVault Document.,,,pkalaimo,nchadwi2,GQS Review/approval,TV-SPEC-69985,Tue Aug 27 09:13:52 EDT 2024,PEPTIDE MAPPING,Component 15,PEPTIDE MAPPING : Component 15,CHAR,> -99999,,%,T
"01968265-dd3a-7ecf-97ba-98a42721ed68-019276ac-6b98-7f96-9ff7-1e43c58b1891-123-Spec-00040098|8|15N|PEPTIDE MAPPING : Component 15|CHAR|>|-99999|||%","019276ac-6b98-7f96-9ff7-1e43c58b1891","01968265-dd3a-7ecf-97ba-98a42721ed68",CypressTC3 – Streamer Test,"123",2025-05-12 00:00:00.000,Spec-00040098|8|15N|PEPTIDE MAPPING : Component 15|CHAR|>|-99999|||%,Spec-00040098,"8",JNJ-61186372 SUBCUTANEOUS GEN2 PROCESS PERFORMANCE QUALIFICATION DP - STAB,A,SPECIFICATIONS AND JUSTIFICATION OF SPECIFICATIONS FOR JNJ-61186372 AMIVANTAMAB SUBCUTANEOUS GEN2 PROCESS PERFORMANCE QUALIFICATION DRUG PRODUCT - STAB,"30-Nov-2023 - amagflorGVW) - CC#2256900 - Updated the Specification for
- To replace the Parameter list ID BIOASSAY 1 -2N with IC CMET BIND SAC - 7N 1NC.
- To replace the Parameter List ID BIOASSAY 2-2N with IC BIOASSAY SAC ST1 - 1LIST 13N 1NC and IC BIOASSAY SAC ST2 - 1LIST 11N 14NC.",,,amagflor,CGallag9,Reviewed/Approved,TV-SPEC-67180,Mon Dec 04 01:00:00 EST 2023,PEPTIDE MAPPING,Component 15,PEPTIDE MAPPING : Component 15,CHAR,> -99999,,%,T
"01968265-dd3a-7ecf-97ba-98a42721ed68-019276ad-24d0-72d5-9598-7526104ec276-123-Spec-00040098|11|15N|PEPTIDE MAPPING : Component 15|CHAR|>|-99999|||%","019276ad-24d0-72d5-9598-7526104ec276","01968265-dd3a-7ecf-97ba-98a42721ed68",CypressTC3 – Streamer Test,"123",2025-05-12 00:00:00.000,Spec-00040098|11|15N|PEPTIDE MAPPING : Component 15|CHAR|>|-99999|||%,Spec-00040098,"11",JNJ-61186372 SUBCUTANEOUS GEN2 PROCESS PERFORMANCE QUALIFICATION DP - STAB,A,SPECIFICATIONS AND JUSTIFICATION OF SPECIFICATIONS FOR JNJ-61186372 AMIVANTAMAB SUBCUTANEOUS GEN2 PROCESS PERFORMANCE QUALIFICATION DRUG PRODUCT - STAB,"pkalaimo (GVW) - 05/Feb/2024 - LM - Update of specification as per LCRF.
1. Replaced CIEF - 7N 1LIST 4 with CIEF - 8N 1LIST parameter list.",,,pkalaimo,mari1,Reviewed and Approved,TV-SPEC-67180,Thu Feb 08 14:05:41 EST 2024,PEPTIDE MAPPING,Component 15,PEPTIDE MAPPING : Component 15,CHAR,> -99999,,%,T
"01968265-dd3a-7ecf-97ba-98a42721ed68-019276ad-5d8a-728d-8134-81d09df139b4-123-Spec-00040098|5|15N|PEPTIDE MAPPING : Component 15|CHAR|>|-99999|||%","019276ad-5d8a-728d-8134-81d09df139b4","01968265-dd3a-7ecf-97ba-98a42721ed68",CypressTC3 – Streamer Test,"123",2025-05-12 00:00:00.000,Spec-00040098|5|15N|PEPTIDE MAPPING : Component 15|CHAR|>|-99999|||%,Spec-00040098,"5",JNJ-61186372 SUBCUTANEOUS GEN2 PROCESS PERFORMANCE QUALIFICATION DP - STAB,A,SPECIFICATIONS AND JUSTIFICATION OF SPECIFICATIONS FOR JNJ-61186372 AMIVANTAMAB SUBCUTANEOUS GEN2 PROCESS PERFORMANCE QUALIFICATION DRUG PRODUCT - STAB,"04/Oct/2023 - PSivaper (GVW) - Update of specification as per LCRF.
1. Updated INH Limit for parameter ""Sample Method ID"" of IC PH MEASUREMENT parameter list.

29/Sep/2023 - VKumara1 (GVW) - CC 2267208 - Update of specification as per LCRF.
1. Added CDS Name for parameters “Component 1” and “Component 2” of CSDS REDUCED parameter list.
2. Added CDS Name for parameter “Component 1” of CSDS NON-REDUCED parameter list.
3. Added CDS Name for NEW PEAKS and NEW PEAKS 1 parameter lists.
Skuijla2 06OCT2023: CSD Name updates Reviewed and Approved",,,VKumara1,mari1,Reviewed and Approved,TV-SPEC-67180,Fri Oct 06 14:07:55 EDT 2023,PEPTIDE MAPPING,Component 15,PEPTIDE MAPPING : Component 15,CHAR,> -99999,,%,T
"01968265-dd3a-7ecf-97ba-98a42721ed68-019276ad-d7eb-776c-ac77-d2fd510d8181-123-Spec-00040098|7|15N|PEPTIDE MAPPING : Component 15|CHAR|>|-99999|||%","019276ad-d7eb-776c-ac77-d2fd510d8181","01968265-dd3a-7ecf-97ba-98a42721ed68",CypressTC3 – Streamer Test,"123",2025-05-12 00:00:00.000,Spec-00040098|7|15N|PEPTIDE MAPPING : Component 15|CHAR|>|-99999|||%,Spec-00040098,"7",JNJ-61186372 SUBCUTANEOUS GEN2 PROCESS PERFORMANCE QUALIFICATION DP - STAB,A,SPECIFICATIONS AND JUSTIFICATION OF SPECIFICATIONS FOR JNJ-61186372 AMIVANTAMAB SUBCUTANEOUS GEN2 PROCESS PERFORMANCE QUALIFICATION DRUG PRODUCT - STAB,"16/Oct/2023 - sdanie24 (GVW) - Update of specification as per LCRF.
1. Updated Worksheet Template for BIOASSAY parameter list.",,,sdanie24,tshah1,Reviewed and Approved.,TV-SPEC-67180,Wed Oct 18 18:11:00 EDT 2023,PEPTIDE MAPPING,Component 15,PEPTIDE MAPPING : Component 15,CHAR,> -99999,,%,T
"01968265-dd3a-7ecf-97ba-98a42721ed68-019276ae-2ff2-7eb6-ac20-caa5c92ff5e4-123-Spec-00040113|21|15N|PEPTIDE MAPPING : Component 15|CHAR|>|-99999|||%","019276ae-2ff2-7eb6-ac20-caa5c92ff5e4","01968265-dd3a-7ecf-97ba-98a42721ed68",CypressTC3 – Streamer Test,"123",2025-05-12 00:00:00.000,Spec-00040113|21|15N|PEPTIDE MAPPING : Component 15|CHAR|>|-99999|||%,Spec-00040113,"21",JNJ-61186372 AMIVANTAMAB SUBCUTANEOUS GEN2 PPQ AND POST-PPQ DRUG PRODUCT,A,SPECIFICATIONS AND JUSTIFICATION OF SPECIFICATIONS FOR JNJ-61186372 AMIVANTAMAB SUBCUTANEOUS GEN2 PPQ AND POST-PPQ DRUG PRODUCT - RELEASE - (SC),"15-Jul-2024 tlinack (SC) - Update of Specification report as per LCRF (ETS 2330275).
1. Updated acceptance criteria on INT Limit for IC SUBVIS 11 (v1) 3N 8NC 5DATE 1T 1L on component ""Target Fill Volume"".",,,tlinack,lwerner3,update according to LCRF and (ETS 2330275),"TV-SPEC-67180, TV-SPEC-70238, TV-TEC-250649, TV-SPEC-66430, TV-SPEC-69985, TV-SPEC-54413, TV-SPEC-61505",Mon Jul 15 09:44:05 EDT 2024,PEPTIDE MAPPING,Component 15,PEPTIDE MAPPING : Component 15,CHAR,> -99999,,%,F
"01968265-dd3a-7ecf-97ba-98a42721ed68-019276af-a069-7e18-aeeb-62e8539bb7c7-123-Spec-00023860|6|25N|OLIGOSACCHARIDE MAP : Component 15|CHAR|>|-99999|||%","019276af-a069-7e18-aeeb-62e8539bb7c7","01968265-dd3a-7ecf-97ba-98a42721ed68",CypressTC3 – Streamer Test,"123",2025-05-12 00:00:00.000,Spec-00023860|6|25N|OLIGOSACCHARIDE MAP : Component 15|CHAR|>|-99999|||%,Spec-00023860,"6","JNJ-61186372, CNTO 4424 FVP Development 50mg/ml Formulation B",A,"JNJ-61186372, CNTO 4424 FVP Development 50mg/ml Formulation B Acceptance Criteria",joconn40 Cork_API-L 11Jul19- Updated SMD reference and updated CoA translation for HI HPLC (v1) 3N,,,joconn40,loconno5,,,Thu Jul 11 12:49:49 EDT 2019,OLIGOSACCHARIDE MAP,Component 15,OLIGOSACCHARIDE MAP : Component 15,CHAR,> -99999,,%,F
"01968265-dd3a-7ecf-97ba-98a42721ed68-019276af-df9b-782b-95c6-a97e81e52b09-123-Spec-00040113|24|15N|PEPTIDE MAPPING : Component 15|CHAR 2|Not In|-99999|||%","019276af-df9b-782b-95c6-a97e81e52b09","01968265-dd3a-7ecf-97ba-98a42721ed68",CypressTC3 – Streamer Test,"123",2025-05-12 00:00:00.000,Spec-00040113|24|15N|PEPTIDE MAPPING : Component 15|CHAR 2|Not In|-99999|||%,Spec-00040113,"24",JNJ-61186372 AMIVANTAMAB SUBCUTANEOUS GEN2 PPQ AND POST-PPQ DRUG PRODUCT,A,SPECIFICATIONS AND JUSTIFICATION OF SPECIFICATIONS FOR JNJ-61186372 AMIVANTAMAB SUBCUTANEOUS GEN2 PPQ AND POST-PPQ DRUG PRODUCT - RELEASE - (SC),"15-Aug-2024 tlinack (SC) - Update of specification for commercial purpose as per ETS 2365185
1. Added Inhouse Reference to GLO + CHAR + IPC Limit Type
2. Added GLO 1, CHAR 1, IPC 1, ALERT and CLIN, CHAR 2, IPC 2 Limit Types
3. Added references on the INH Limit Type
4. Removed limits according to TV-SPEC-67180 v3.0 from the INH Limit Type
5. Updated WS on BIOBURDEN 1
6. Updated CoA Translation on IC COLOR INST SAMPLE (v2) 1NC 3TC 3T 3L, result EP-B rep + result EP-BY rep + result EP-Y rep
7. Updated Threshold as per provided Supplemental Info on SUCROSE (v1) 1N, but not on SE-HPLC (v1) 3N 1LIST 1, because this is not in alignment with site request
8. Updated unit on POLYSORBATE 80 (v1) 1N to ""% (w/v)""
NOTE: POLYSORBATE 80 (v1) 1N and SUCROSE (v1) 1N were set up with ""% (w/v)"" for all limit type per guidance of QC. This unit was chosen because this is the unit which is used in the COMM lab spec and in the TMDs. QC did't want to have an extra Parameter list with only ""%"" for CLIN and or PPQ purpose.
9. Updated CoA Translation and or CoA Group and or CoA Limit Text as per TV-SPEC-69985 v1.0 (GLO 1&CHAR 1) required, and added extended CoA Information as per TV-SPEC-67180 v3.0 (GLO&CHAR) and  TV-SPEC-66430 v5.0 (CLIN%CHAR2) as needed on following PL:
-POLYSORBATE 80 (v1) 1N
-PARTICULATE MATTER (v1) CNTO4424 1LIST
-PARTICULATE MATTER 7 (v1) 1LIST
-MDI 3RUN 10 25 70 C (v1) 2DATE 37N 15NC
-IC SUBVIS 11 (v1) 3N 8NC 5DATE 1T 1L
-IC A280 SAMPLE (v1) 6N 4NC
-PH20 ACTIVITY (v1) 1N
-CSDS REDUCED (v1) CNTO4424 2N 1LIST
-CSDS NON-REDUCED (v1) 1N 1LIST 2
-PEPTIDE MAPPING 1 (v1) 5N

NOTE:
PARTICULATE MATTER (v1) CNTO4424 1LIST + IC VFP STG1+ IC VFP STG2.1 + IC VFP STG3.1 is in use for 10mL 
PARTICULATE MATTER 7 (v1) 1LIST + IC VFP STG1 A+ IC VFP STG2.1 A + IC VFP STG3.1 A is in use for 14 mL and 15 mL
PARTICULATE MATTER 8 (v1) 1LIST + IC VFP STG1 B+ IC VFP STG2.1 B + IC VFP STG3.1 B is in use for 22mL",,,tlinack,lwerner3,ETS 2365185/  2365189,"TV-SPEC-67180, TV-SPEC-70238, TV-TEC-250649, TV-SPEC-66430, TV-SPEC-69985, TV-SPEC-54413, TV-SPEC-61505",Mon Sep 02 06:00:00 EDT 2024,PEPTIDE MAPPING,Component 15,PEPTIDE MAPPING : Component 15,CHAR 2,Not In -99999,,%,F
"01968265-dd3a-7ecf-97ba-98a42721ed68-019276b0-275d-76fd-b531-6149d97acb32-123-Spec-00040098|13|15N|PEPTIDE MAPPING : Component 15|CHAR|>|-99999|||%","019276b0-275d-76fd-b531-6149d97acb32","01968265-dd3a-7ecf-97ba-98a42721ed68",CypressTC3 – Streamer Test,"123",2025-05-12 00:00:00.000,Spec-00040098|13|15N|PEPTIDE MAPPING : Component 15|CHAR|>|-99999|||%,Spec-00040098,"13",JNJ-61186372 AMIVANTAMAB SUBCUTANEOUS GEN2 PPQ AND POST-PPQ DRUG PRODUCT - STAB,A,SPECIFICATIONS AND JUSTIFICATION OF SPECIFICATIONS FOR JNJ-61186372 AMIVANTAMAB SUBCUTANEOUS GEN2 PPQ AND POST-PPQ DRUG PRODUCT - STAB,"pkalaimo (GVW) - 15/Mar/2024 - LM - Update of specification as per TruVault Document.
1. Updated SMD Reference from TV-SPEC-67180 v1.0 to TV-SPEC-67180 v2.0 for INH, GLO and CHAR Limit Types.
2. Updated Specification Name and Description.
3. Updated Method Reference for BIOASSAY, IC BIOASSAY SAC ST1 and IC BIOASSAY SAC ST2 parameter lists.",,,pkalaimo,tshah1,Reviewed/Approved.,TV-SPEC-67180,Fri Mar 22 05:00:00 EDT 2024,PEPTIDE MAPPING,Component 15,PEPTIDE MAPPING : Component 15,CHAR,> -99999,,%,T
"01968265-dd3a-7ecf-97ba-98a42721ed68-019276b0-4167-7d54-b3ca-be4f49d43d5b-123-Spec-00040113|16|15N|PEPTIDE MAPPING : Component 15|CHAR|>|-99999|||%","019276b0-4167-7d54-b3ca-be4f49d43d5b","01968265-dd3a-7ecf-97ba-98a42721ed68",CypressTC3 – Streamer Test,"123",2025-05-12 00:00:00.000,Spec-00040113|16|15N|PEPTIDE MAPPING : Component 15|CHAR|>|-99999|||%,Spec-00040113,"16",JNJ-61186372 AMIVANTAMAB SUBCUTANEOUS GEN2 PPQ AND POST-PPQ DRUG PRODUCT,A,SPECIFICATIONS AND JUSTIFICATION OF SPECIFICATIONS FOR JNJ-61186372 AMIVANTAMAB SUBCUTANEOUS GEN2 PPQ AND POST-PPQ DRUG PRODUCT - RELEASE - (SC),"MVarghee (GVW) - 22/May/2024  - Update of Specification report as per LCRF.
1. Updated worksheet template for the parameter list BIOASSAY 1 and BIOASSAY 15.
2. Updated method reference for the parameter list BIOASSAY 15.

",,,MVarghee,mari1,Reviewed and Approved,"TV-SPEC-67180, TV-SPEC-70238, TV-TEC-250649, TV-SPEC-66430, TV-SPEC-69985, TV-SPEC-54413, TV-SPEC-61505",Fri May 24 06:00:00 EDT 2024,PEPTIDE MAPPING,Component 15,PEPTIDE MAPPING : Component 15,CHAR,> -99999,,%,F
